Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Абакан - Ремонт	ремонт кровли абакан	Ремонт крыши в Абакан	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	abakan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Ремонт	ремонт крыши абакан	Ремонт крыши в Абакан	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	abakan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Ремонт	демонтаж крыши абакан	Ремонт крыши в Абакан	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	abakan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Ремонт	устранение протечек крыши абакан	Ремонт крыши в Абакан	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	abakan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Ремонт	ремонт крыши частного дома абакан	Ремонт крыши в Абакан	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	abakan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Монтаж	монтаж кровли абакан	Кровля под ключ в Абакан	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	abakan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Монтаж	кровельные работы абакан	Кровля под ключ в Абакан	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	abakan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Монтаж	крыша под ключ абакан	Кровля под ключ в Абакан	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	abakan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Монтаж	перекрыть крышу абакан	Кровля под ключ в Абакан	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	abakan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Монтаж	строительство крыши абакан	Кровля под ключ в Абакан	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	abakan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Металлочерепица	монтаж металлочерепицы абакан	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Металлочерепица	крыша из металлочерепицы абакан	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Металлочерепица	металлочерепица под ключ абакан	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Металлочерепица	кровля металлочерепица цена абакан	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Профнастил	монтаж профнастила на крышу абакан	Кровля из профнастила	От 1400 руб/м² в Абакан	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Профнастил	крыша из профнастила абакан	Кровля из профнастила	От 1400 руб/м² в Абакан	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Профнастил	перекрыть крышу профлистом абакан	Кровля из профнастила	От 1400 руб/м² в Абакан	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Профнастил	кровля профнастил цена абакан	Кровля из профнастила	От 1400 руб/м² в Абакан	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Гибкая черепица	монтаж мягкой кровли абакан	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Гибкая черепица	гибкая черепица монтаж абакан	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Гибкая черепица	мягкая кровля цена абакан	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
-	Абакан - Гибкая черепица	укладка мягкой черепицы абакан	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	abakan.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=abakan_tenant1
