Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Амурск - Ремонт	ремонт кровли амурск	Ремонт крыши в Амурск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	amursk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=amursk_tenant1
-	Амурск - Ремонт	ремонт крыши амурск	Ремонт крыши в Амурск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	amursk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=amursk_tenant1
-	Амурск - Ремонт	демонтаж крыши амурск	Ремонт крыши в Амурск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	amursk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=amursk_tenant1
-	Амурск - Ремонт	устранение протечек крыши амурск	Ремонт крыши в Амурск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	amursk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=amursk_tenant1
-	Амурск - Ремонт	ремонт крыши частного дома амурск	Ремонт крыши в Амурск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	amursk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=amursk_tenant1
-	Амурск - Монтаж	монтаж кровли амурск	Кровля под ключ в Амурск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	amursk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=amursk_tenant1
-	Амурск - Монтаж	кровельные работы амурск	Кровля под ключ в Амурск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	amursk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=amursk_tenant1
-	Амурск - Монтаж	крыша под ключ амурск	Кровля под ключ в Амурск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	amursk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=amursk_tenant1
-	Амурск - Монтаж	перекрыть крышу амурск	Кровля под ключ в Амурск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	amursk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=amursk_tenant1
-	Амурск - Монтаж	строительство крыши амурск	Кровля под ключ в Амурск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	amursk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=amursk_tenant1
