Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Архангельск - Ремонт	ремонт кровли архангельск	Ремонт крыши в Архангельск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	arkhangelsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Ремонт	ремонт крыши архангельск	Ремонт крыши в Архангельск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	arkhangelsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Ремонт	демонтаж крыши архангельск	Ремонт крыши в Архангельск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	arkhangelsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Ремонт	устранение протечек крыши архангельск	Ремонт крыши в Архангельск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	arkhangelsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Ремонт	ремонт крыши частного дома архангельск	Ремонт крыши в Архангельск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	arkhangelsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Монтаж	монтаж кровли архангельск	Кровля под ключ в Архангельск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	arkhangelsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Монтаж	кровельные работы архангельск	Кровля под ключ в Архангельск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	arkhangelsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Монтаж	крыша под ключ архангельск	Кровля под ключ в Архангельск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	arkhangelsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Монтаж	перекрыть крышу архангельск	Кровля под ключ в Архангельск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	arkhangelsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Монтаж	строительство крыши архангельск	Кровля под ключ в Архангельск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	arkhangelsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Металлочерепица	монтаж металлочерепицы архангельск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Металлочерепица	крыша из металлочерепицы архангельск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Металлочерепица	металлочерепица под ключ архангельск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Металлочерепица	кровля металлочерепица цена архангельск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Профнастил	монтаж профнастила на крышу архангельск	Кровля из профнастила	От 1400 руб/м² в Архангельск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Профнастил	крыша из профнастила архангельск	Кровля из профнастила	От 1400 руб/м² в Архангельск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Профнастил	перекрыть крышу профлистом архангельск	Кровля из профнастила	От 1400 руб/м² в Архангельск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Профнастил	кровля профнастил цена архангельск	Кровля из профнастила	От 1400 руб/м² в Архангельск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Гибкая черепица	монтаж мягкой кровли архангельск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Гибкая черепица	гибкая черепица монтаж архангельск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Гибкая черепица	мягкая кровля цена архангельск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
-	Архангельск - Гибкая черепица	укладка мягкой черепицы архангельск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	arkhangelsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=arkhangelsk_tenant1
