Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Армавир - Ремонт	ремонт кровли армавир	Ремонт крыши в Армавир	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	armavir.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=armavir_tenant1
-	Армавир - Ремонт	ремонт крыши армавир	Ремонт крыши в Армавир	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	armavir.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=armavir_tenant1
-	Армавир - Ремонт	демонтаж крыши армавир	Ремонт крыши в Армавир	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	armavir.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=armavir_tenant1
-	Армавир - Ремонт	устранение протечек крыши армавир	Ремонт крыши в Армавир	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	armavir.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=armavir_tenant1
-	Армавир - Ремонт	ремонт крыши частного дома армавир	Ремонт крыши в Армавир	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	armavir.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=armavir_tenant1
-	Армавир - Монтаж	монтаж кровли армавир	Кровля под ключ в Армавир	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	armavir.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=armavir_tenant1
-	Армавир - Монтаж	кровельные работы армавир	Кровля под ключ в Армавир	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	armavir.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=armavir_tenant1
-	Армавир - Монтаж	крыша под ключ армавир	Кровля под ключ в Армавир	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	armavir.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=armavir_tenant1
-	Армавир - Монтаж	перекрыть крышу армавир	Кровля под ключ в Армавир	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	armavir.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=armavir_tenant1
-	Армавир - Монтаж	строительство крыши армавир	Кровля под ключ в Армавир	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	armavir.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=armavir_tenant1
