Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Астрахань - Ремонт	ремонт кровли астрахань	Ремонт крыши в Астрахань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	astrakhan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=astrakhan_tenant1
-	Астрахань - Ремонт	ремонт крыши астрахань	Ремонт крыши в Астрахань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	astrakhan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=astrakhan_tenant1
-	Астрахань - Ремонт	демонтаж крыши астрахань	Ремонт крыши в Астрахань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	astrakhan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=astrakhan_tenant1
-	Астрахань - Ремонт	устранение протечек крыши астрахань	Ремонт крыши в Астрахань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	astrakhan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=astrakhan_tenant1
-	Астрахань - Ремонт	ремонт крыши частного дома астрахань	Ремонт крыши в Астрахань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	astrakhan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=astrakhan_tenant1
-	Астрахань - Монтаж	монтаж кровли астрахань	Кровля под ключ в Астрахань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	astrakhan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=astrakhan_tenant1
-	Астрахань - Монтаж	кровельные работы астрахань	Кровля под ключ в Астрахань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	astrakhan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=astrakhan_tenant1
-	Астрахань - Монтаж	крыша под ключ астрахань	Кровля под ключ в Астрахань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	astrakhan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=astrakhan_tenant1
-	Астрахань - Монтаж	перекрыть крышу астрахань	Кровля под ключ в Астрахань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	astrakhan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=astrakhan_tenant1
-	Астрахань - Монтаж	строительство крыши астрахань	Кровля под ключ в Астрахань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	astrakhan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=astrakhan_tenant1
