Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Барнаул - Ремонт	ремонт кровли барнаул	Ремонт крыши в Барнаул	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	barnaul.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=barnaul_tenant1
-	Барнаул - Ремонт	ремонт крыши барнаул	Ремонт крыши в Барнаул	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	barnaul.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=barnaul_tenant1
-	Барнаул - Ремонт	демонтаж крыши барнаул	Ремонт крыши в Барнаул	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	barnaul.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=barnaul_tenant1
-	Барнаул - Ремонт	устранение протечек крыши барнаул	Ремонт крыши в Барнаул	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	barnaul.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=barnaul_tenant1
-	Барнаул - Ремонт	ремонт крыши частного дома барнаул	Ремонт крыши в Барнаул	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	barnaul.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=barnaul_tenant1
-	Барнаул - Монтаж	монтаж кровли барнаул	Кровля под ключ в Барнаул	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	barnaul.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=barnaul_tenant1
-	Барнаул - Монтаж	кровельные работы барнаул	Кровля под ключ в Барнаул	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	barnaul.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=barnaul_tenant1
-	Барнаул - Монтаж	крыша под ключ барнаул	Кровля под ключ в Барнаул	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	barnaul.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=barnaul_tenant1
-	Барнаул - Монтаж	перекрыть крышу барнаул	Кровля под ключ в Барнаул	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	barnaul.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=barnaul_tenant1
-	Барнаул - Монтаж	строительство крыши барнаул	Кровля под ключ в Барнаул	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	barnaul.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=barnaul_tenant1
