Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Белгород - Ремонт	ремонт кровли белгород	Ремонт крыши в Белгород	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	belgorod.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=belgorod_tenant1
-	Белгород - Ремонт	ремонт крыши белгород	Ремонт крыши в Белгород	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	belgorod.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=belgorod_tenant1
-	Белгород - Ремонт	демонтаж крыши белгород	Ремонт крыши в Белгород	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	belgorod.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=belgorod_tenant1
-	Белгород - Ремонт	устранение протечек крыши белгород	Ремонт крыши в Белгород	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	belgorod.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=belgorod_tenant1
-	Белгород - Ремонт	ремонт крыши частного дома белгород	Ремонт крыши в Белгород	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	belgorod.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=belgorod_tenant1
-	Белгород - Монтаж	монтаж кровли белгород	Кровля под ключ в Белгород	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	belgorod.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=belgorod_tenant1
-	Белгород - Монтаж	кровельные работы белгород	Кровля под ключ в Белгород	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	belgorod.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=belgorod_tenant1
-	Белгород - Монтаж	крыша под ключ белгород	Кровля под ключ в Белгород	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	belgorod.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=belgorod_tenant1
-	Белгород - Монтаж	перекрыть крышу белгород	Кровля под ключ в Белгород	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	belgorod.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=belgorod_tenant1
-	Белгород - Монтаж	строительство крыши белгород	Кровля под ключ в Белгород	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	belgorod.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=belgorod_tenant1
