Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Белово - Ремонт	ремонт кровли белово	Ремонт крыши в Белово	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	belovo.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=belovo_tenant1
-	Белово - Ремонт	ремонт крыши белово	Ремонт крыши в Белово	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	belovo.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=belovo_tenant1
-	Белово - Ремонт	демонтаж крыши белово	Ремонт крыши в Белово	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	belovo.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=belovo_tenant1
-	Белово - Ремонт	устранение протечек крыши белово	Ремонт крыши в Белово	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	belovo.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=belovo_tenant1
-	Белово - Ремонт	ремонт крыши частного дома белово	Ремонт крыши в Белово	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	belovo.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=belovo_tenant1
-	Белово - Монтаж	монтаж кровли белово	Кровля под ключ в Белово	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	belovo.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=belovo_tenant1
-	Белово - Монтаж	кровельные работы белово	Кровля под ключ в Белово	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	belovo.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=belovo_tenant1
-	Белово - Монтаж	крыша под ключ белово	Кровля под ключ в Белово	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	belovo.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=belovo_tenant1
-	Белово - Монтаж	перекрыть крышу белово	Кровля под ключ в Белово	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	belovo.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=belovo_tenant1
-	Белово - Монтаж	строительство крыши белово	Кровля под ключ в Белово	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	belovo.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=belovo_tenant1
