Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Бийск - Ремонт	ремонт кровли бийск	Ремонт крыши в Бийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	biysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=biysk_tenant1
-	Бийск - Ремонт	ремонт крыши бийск	Ремонт крыши в Бийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	biysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=biysk_tenant1
-	Бийск - Ремонт	демонтаж крыши бийск	Ремонт крыши в Бийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	biysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=biysk_tenant1
-	Бийск - Ремонт	устранение протечек крыши бийск	Ремонт крыши в Бийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	biysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=biysk_tenant1
-	Бийск - Ремонт	ремонт крыши частного дома бийск	Ремонт крыши в Бийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	biysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=biysk_tenant1
-	Бийск - Монтаж	монтаж кровли бийск	Кровля под ключ в Бийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	biysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=biysk_tenant1
-	Бийск - Монтаж	кровельные работы бийск	Кровля под ключ в Бийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	biysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=biysk_tenant1
-	Бийск - Монтаж	крыша под ключ бийск	Кровля под ключ в Бийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	biysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=biysk_tenant1
-	Бийск - Монтаж	перекрыть крышу бийск	Кровля под ключ в Бийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	biysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=biysk_tenant1
-	Бийск - Монтаж	строительство крыши бийск	Кровля под ключ в Бийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	biysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=biysk_tenant1
