Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Братск - Ремонт	ремонт кровли братск	Ремонт крыши в Братск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	bratsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Ремонт	ремонт крыши братск	Ремонт крыши в Братск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	bratsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Ремонт	демонтаж крыши братск	Ремонт крыши в Братск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	bratsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Ремонт	устранение протечек крыши братск	Ремонт крыши в Братск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	bratsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Ремонт	ремонт крыши частного дома братск	Ремонт крыши в Братск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	bratsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Монтаж	монтаж кровли братск	Кровля под ключ в Братск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	bratsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Монтаж	кровельные работы братск	Кровля под ключ в Братск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	bratsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Монтаж	крыша под ключ братск	Кровля под ключ в Братск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	bratsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Монтаж	перекрыть крышу братск	Кровля под ключ в Братск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	bratsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Монтаж	строительство крыши братск	Кровля под ключ в Братск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	bratsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Металлочерепица	монтаж металлочерепицы братск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	bratsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Металлочерепица	крыша из металлочерепицы братск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	bratsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Металлочерепица	металлочерепица под ключ братск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	bratsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Металлочерепица	кровля металлочерепица цена братск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	bratsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Профнастил	монтаж профнастила на крышу братск	Кровля из профнастила	От 1400 руб/м² в Братск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	bratsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Профнастил	крыша из профнастила братск	Кровля из профнастила	От 1400 руб/м² в Братск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	bratsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Профнастил	перекрыть крышу профлистом братск	Кровля из профнастила	От 1400 руб/м² в Братск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	bratsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Профнастил	кровля профнастил цена братск	Кровля из профнастила	От 1400 руб/м² в Братск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	bratsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Гибкая черепица	монтаж мягкой кровли братск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	bratsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
-	Братск - Гибкая черепица	гибкая черепица монтаж братск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	bratsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=bratsk_tenant1
