Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Бугуруслан - Ремонт	ремонт кровли бугуруслан	Ремонт крыши в Бугуруслан	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	buguruslan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=buguruslan_tenant1
-	Бугуруслан - Ремонт	ремонт крыши бугуруслан	Ремонт крыши в Бугуруслан	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	buguruslan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=buguruslan_tenant1
-	Бугуруслан - Ремонт	демонтаж крыши бугуруслан	Ремонт крыши в Бугуруслан	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	buguruslan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=buguruslan_tenant1
-	Бугуруслан - Ремонт	устранение протечек крыши бугуруслан	Ремонт крыши в Бугуруслан	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	buguruslan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=buguruslan_tenant1
-	Бугуруслан - Ремонт	ремонт крыши частного дома бугуруслан	Ремонт крыши в Бугуруслан	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	buguruslan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=buguruslan_tenant1
-	Бугуруслан - Монтаж	монтаж кровли бугуруслан	Кровля под ключ в Бугуруслан	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	buguruslan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=buguruslan_tenant1
-	Бугуруслан - Монтаж	кровельные работы бугуруслан	Кровля под ключ в Бугуруслан	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	buguruslan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=buguruslan_tenant1
-	Бугуруслан - Монтаж	крыша под ключ бугуруслан	Кровля под ключ в Бугуруслан	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	buguruslan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=buguruslan_tenant1
-	Бугуруслан - Монтаж	перекрыть крышу бугуруслан	Кровля под ключ в Бугуруслан	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	buguruslan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=buguruslan_tenant1
-	Бугуруслан - Монтаж	строительство крыши бугуруслан	Кровля под ключ в Бугуруслан	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	buguruslan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=buguruslan_tenant1
