Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Чебоксары - Ремонт	ремонт кровли чебоксары	Ремонт крыши в Чебоксары	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	cheboksary.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=cheboksary_tenant1
-	Чебоксары - Ремонт	ремонт крыши чебоксары	Ремонт крыши в Чебоксары	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	cheboksary.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=cheboksary_tenant1
-	Чебоксары - Ремонт	демонтаж крыши чебоксары	Ремонт крыши в Чебоксары	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	cheboksary.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=cheboksary_tenant1
-	Чебоксары - Ремонт	устранение протечек крыши чебоксары	Ремонт крыши в Чебоксары	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	cheboksary.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=cheboksary_tenant1
-	Чебоксары - Ремонт	ремонт крыши частного дома чебоксары	Ремонт крыши в Чебоксары	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	cheboksary.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=cheboksary_tenant1
-	Чебоксары - Монтаж	монтаж кровли чебоксары	Кровля под ключ в Чебоксары	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	cheboksary.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=cheboksary_tenant1
-	Чебоксары - Монтаж	кровельные работы чебоксары	Кровля под ключ в Чебоксары	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	cheboksary.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=cheboksary_tenant1
-	Чебоксары - Монтаж	крыша под ключ чебоксары	Кровля под ключ в Чебоксары	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	cheboksary.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=cheboksary_tenant1
-	Чебоксары - Монтаж	перекрыть крышу чебоксары	Кровля под ключ в Чебоксары	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	cheboksary.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=cheboksary_tenant1
-	Чебоксары - Монтаж	строительство крыши чебоксары	Кровля под ключ в Чебоксары	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	cheboksary.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=cheboksary_tenant1
