Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Челябинск - Ремонт	ремонт кровли челябинск	Ремонт крыши в Челябинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	chelyabinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Ремонт	ремонт крыши челябинск	Ремонт крыши в Челябинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	chelyabinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Ремонт	демонтаж крыши челябинск	Ремонт крыши в Челябинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	chelyabinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Ремонт	устранение протечек крыши челябинск	Ремонт крыши в Челябинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	chelyabinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Ремонт	ремонт крыши частного дома челябинск	Ремонт крыши в Челябинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	chelyabinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Монтаж	монтаж кровли челябинск	Кровля под ключ в Челябинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	chelyabinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Монтаж	кровельные работы челябинск	Кровля под ключ в Челябинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	chelyabinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Монтаж	крыша под ключ челябинск	Кровля под ключ в Челябинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	chelyabinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Монтаж	перекрыть крышу челябинск	Кровля под ключ в Челябинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	chelyabinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Монтаж	строительство крыши челябинск	Кровля под ключ в Челябинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	chelyabinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Металлочерепица	монтаж металлочерепицы челябинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Металлочерепица	крыша из металлочерепицы челябинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Металлочерепица	металлочерепица под ключ челябинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Металлочерепица	кровля металлочерепица цена челябинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Профнастил	монтаж профнастила на крышу челябинск	Кровля из профнастила	От 1400 руб/м² в Челябинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Профнастил	крыша из профнастила челябинск	Кровля из профнастила	От 1400 руб/м² в Челябинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Профнастил	перекрыть крышу профлистом челябинск	Кровля из профнастила	От 1400 руб/м² в Челябинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Профнастил	кровля профнастил цена челябинск	Кровля из профнастила	От 1400 руб/м² в Челябинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Гибкая черепица	монтаж мягкой кровли челябинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Гибкая черепица	гибкая черепица монтаж челябинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Гибкая черепица	мягкая кровля цена челябинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
-	Челябинск - Гибкая черепица	укладка мягкой черепицы челябинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	chelyabinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=chelyabinsk_tenant1
