Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Долгопрудный - Ремонт	ремонт кровли долгопрудный	Ремонт крыши в Долгопрудный	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	dolgoprudnyy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Ремонт	ремонт крыши долгопрудный	Ремонт крыши в Долгопрудный	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	dolgoprudnyy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Ремонт	демонтаж крыши долгопрудный	Ремонт крыши в Долгопрудный	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	dolgoprudnyy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Ремонт	устранение протечек крыши долгопрудный	Ремонт крыши в Долгопрудный	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	dolgoprudnyy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Ремонт	ремонт крыши частного дома долгопрудный	Ремонт крыши в Долгопрудный	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	dolgoprudnyy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Монтаж	монтаж кровли долгопрудный	Кровля под ключ в Долгопрудный	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	dolgoprudnyy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Монтаж	кровельные работы долгопрудный	Кровля под ключ в Долгопрудный	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	dolgoprudnyy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Монтаж	крыша под ключ долгопрудный	Кровля под ключ в Долгопрудный	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	dolgoprudnyy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Монтаж	перекрыть крышу долгопрудный	Кровля под ключ в Долгопрудный	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	dolgoprudnyy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Монтаж	строительство крыши долгопрудный	Кровля под ключ в Долгопрудный	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	dolgoprudnyy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Металлочерепица	монтаж металлочерепицы долгопрудный	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	dolgoprudnyy.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Металлочерепица	крыша из металлочерепицы долгопрудный	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	dolgoprudnyy.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
-	Долгопрудный - Металлочерепица	металлочерепица под ключ долгопрудный	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	dolgoprudnyy.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=dolgoprudnyy_tenant1
