Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Екатеринбург - Ремонт	ремонт кровли екатеринбург	Ремонт крыши в Екатеринбург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ekaterinburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Ремонт	ремонт крыши екатеринбург	Ремонт крыши в Екатеринбург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ekaterinburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Ремонт	демонтаж крыши екатеринбург	Ремонт крыши в Екатеринбург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ekaterinburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Ремонт	устранение протечек крыши екатеринбург	Ремонт крыши в Екатеринбург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ekaterinburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Ремонт	ремонт крыши частного дома екатеринбург	Ремонт крыши в Екатеринбург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ekaterinburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Монтаж	монтаж кровли екатеринбург	Кровля под ключ в Екатеринбург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ekaterinburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Монтаж	кровельные работы екатеринбург	Кровля под ключ в Екатеринбург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ekaterinburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Монтаж	крыша под ключ екатеринбург	Кровля под ключ в Екатеринбург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ekaterinburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Монтаж	перекрыть крышу екатеринбург	Кровля под ключ в Екатеринбург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ekaterinburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Монтаж	строительство крыши екатеринбург	Кровля под ключ в Екатеринбург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ekaterinburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Металлочерепица	монтаж металлочерепицы екатеринбург	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Металлочерепица	крыша из металлочерепицы екатеринбург	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Металлочерепица	металлочерепица под ключ екатеринбург	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Металлочерепица	кровля металлочерепица цена екатеринбург	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Профнастил	монтаж профнастила на крышу екатеринбург	Кровля из профнастила	От 1400 руб/м² в Екатеринбург	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Профнастил	крыша из профнастила екатеринбург	Кровля из профнастила	От 1400 руб/м² в Екатеринбург	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Профнастил	перекрыть крышу профлистом екатеринбург	Кровля из профнастила	От 1400 руб/м² в Екатеринбург	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Профнастил	кровля профнастил цена екатеринбург	Кровля из профнастила	От 1400 руб/м² в Екатеринбург	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Гибкая черепица	монтаж мягкой кровли екатеринбург	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Гибкая черепица	гибкая черепица монтаж екатеринбург	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Гибкая черепица	мягкая кровля цена екатеринбург	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
-	Екатеринбург - Гибкая черепица	укладка мягкой черепицы екатеринбург	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ekaterinburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ekaterinburg_tenant1
