Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Электросталь - Ремонт	ремонт кровли электросталь	Ремонт крыши в Электросталь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	elektrostal.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=elektrostal_tenant1
-	Электросталь - Ремонт	ремонт крыши электросталь	Ремонт крыши в Электросталь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	elektrostal.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=elektrostal_tenant1
-	Электросталь - Ремонт	демонтаж крыши электросталь	Ремонт крыши в Электросталь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	elektrostal.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=elektrostal_tenant1
-	Электросталь - Ремонт	устранение протечек крыши электросталь	Ремонт крыши в Электросталь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	elektrostal.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=elektrostal_tenant1
-	Электросталь - Ремонт	ремонт крыши частного дома электросталь	Ремонт крыши в Электросталь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	elektrostal.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=elektrostal_tenant1
-	Электросталь - Монтаж	монтаж кровли электросталь	Кровля под ключ в Электросталь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	elektrostal.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=elektrostal_tenant1
-	Электросталь - Монтаж	кровельные работы электросталь	Кровля под ключ в Электросталь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	elektrostal.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=elektrostal_tenant1
-	Электросталь - Монтаж	крыша под ключ электросталь	Кровля под ключ в Электросталь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	elektrostal.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=elektrostal_tenant1
-	Электросталь - Монтаж	перекрыть крышу электросталь	Кровля под ключ в Электросталь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	elektrostal.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=elektrostal_tenant1
-	Электросталь - Монтаж	строительство крыши электросталь	Кровля под ключ в Электросталь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	elektrostal.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=elektrostal_tenant1
