Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Глазов - Ремонт	ремонт кровли глазов	Ремонт крыши в Глазов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	glazov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Ремонт	ремонт крыши глазов	Ремонт крыши в Глазов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	glazov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Ремонт	демонтаж крыши глазов	Ремонт крыши в Глазов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	glazov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Ремонт	устранение протечек крыши глазов	Ремонт крыши в Глазов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	glazov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Ремонт	ремонт крыши частного дома глазов	Ремонт крыши в Глазов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	glazov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Монтаж	монтаж кровли глазов	Кровля под ключ в Глазов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	glazov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Монтаж	кровельные работы глазов	Кровля под ключ в Глазов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	glazov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Монтаж	крыша под ключ глазов	Кровля под ключ в Глазов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	glazov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Монтаж	перекрыть крышу глазов	Кровля под ключ в Глазов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	glazov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Монтаж	строительство крыши глазов	Кровля под ключ в Глазов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	glazov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Металлочерепица	монтаж металлочерепицы глазов	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	glazov.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
-	Глазов - Металлочерепица	крыша из металлочерепицы глазов	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	glazov.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=glazov_tenant1
