Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Грозный - Ремонт	ремонт кровли грозный	Ремонт крыши в Грозный	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	groznyy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=groznyy_tenant1
-	Грозный - Ремонт	ремонт крыши грозный	Ремонт крыши в Грозный	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	groznyy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=groznyy_tenant1
-	Грозный - Ремонт	демонтаж крыши грозный	Ремонт крыши в Грозный	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	groznyy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=groznyy_tenant1
-	Грозный - Ремонт	устранение протечек крыши грозный	Ремонт крыши в Грозный	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	groznyy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=groznyy_tenant1
-	Грозный - Ремонт	ремонт крыши частного дома грозный	Ремонт крыши в Грозный	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	groznyy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=groznyy_tenant1
-	Грозный - Монтаж	монтаж кровли грозный	Кровля под ключ в Грозный	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	groznyy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=groznyy_tenant1
-	Грозный - Монтаж	кровельные работы грозный	Кровля под ключ в Грозный	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	groznyy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=groznyy_tenant1
-	Грозный - Монтаж	крыша под ключ грозный	Кровля под ключ в Грозный	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	groznyy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=groznyy_tenant1
-	Грозный - Монтаж	перекрыть крышу грозный	Кровля под ключ в Грозный	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	groznyy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=groznyy_tenant1
-	Грозный - Монтаж	строительство крыши грозный	Кровля под ключ в Грозный	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	groznyy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=groznyy_tenant1
