Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Инта - Ремонт	ремонт кровли инта	Ремонт крыши в Инта	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	inta.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Ремонт	ремонт крыши инта	Ремонт крыши в Инта	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	inta.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Ремонт	демонтаж крыши инта	Ремонт крыши в Инта	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	inta.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Ремонт	устранение протечек крыши инта	Ремонт крыши в Инта	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	inta.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Ремонт	ремонт крыши частного дома инта	Ремонт крыши в Инта	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	inta.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Монтаж	монтаж кровли инта	Кровля под ключ в Инта	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	inta.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Монтаж	кровельные работы инта	Кровля под ключ в Инта	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	inta.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Монтаж	крыша под ключ инта	Кровля под ключ в Инта	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	inta.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Монтаж	перекрыть крышу инта	Кровля под ключ в Инта	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	inta.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Монтаж	строительство крыши инта	Кровля под ключ в Инта	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	inta.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Металлочерепица	монтаж металлочерепицы инта	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Металлочерепица	крыша из металлочерепицы инта	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Металлочерепица	металлочерепица под ключ инта	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Металлочерепица	кровля металлочерепица цена инта	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Профнастил	монтаж профнастила на крышу инта	Кровля из профнастила	От 1400 руб/м² в Инта	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Профнастил	крыша из профнастила инта	Кровля из профнастила	От 1400 руб/м² в Инта	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Профнастил	перекрыть крышу профлистом инта	Кровля из профнастила	От 1400 руб/м² в Инта	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Профнастил	кровля профнастил цена инта	Кровля из профнастила	От 1400 руб/м² в Инта	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Гибкая черепица	монтаж мягкой кровли инта	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Гибкая черепица	гибкая черепица монтаж инта	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Гибкая черепица	мягкая кровля цена инта	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
-	Инта - Гибкая черепица	укладка мягкой черепицы инта	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	inta.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=inta_tenant1
