Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Иркутск - Ремонт	ремонт кровли иркутск	Ремонт крыши в Иркутск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	irkutsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=irkutsk_tenant1
-	Иркутск - Ремонт	ремонт крыши иркутск	Ремонт крыши в Иркутск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	irkutsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=irkutsk_tenant1
-	Иркутск - Ремонт	демонтаж крыши иркутск	Ремонт крыши в Иркутск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	irkutsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=irkutsk_tenant1
-	Иркутск - Ремонт	устранение протечек крыши иркутск	Ремонт крыши в Иркутск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	irkutsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=irkutsk_tenant1
-	Иркутск - Ремонт	ремонт крыши частного дома иркутск	Ремонт крыши в Иркутск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	irkutsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=irkutsk_tenant1
-	Иркутск - Монтаж	монтаж кровли иркутск	Кровля под ключ в Иркутск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	irkutsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=irkutsk_tenant1
-	Иркутск - Монтаж	кровельные работы иркутск	Кровля под ключ в Иркутск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	irkutsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=irkutsk_tenant1
-	Иркутск - Монтаж	крыша под ключ иркутск	Кровля под ключ в Иркутск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	irkutsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=irkutsk_tenant1
-	Иркутск - Монтаж	перекрыть крышу иркутск	Кровля под ключ в Иркутск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	irkutsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=irkutsk_tenant1
-	Иркутск - Монтаж	строительство крыши иркутск	Кровля под ключ в Иркутск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	irkutsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=irkutsk_tenant1
