Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Ишимбай - Ремонт	ремонт кровли ишимбай	Ремонт крыши в Ишимбай	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ishimbay.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Ремонт	ремонт крыши ишимбай	Ремонт крыши в Ишимбай	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ishimbay.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Ремонт	демонтаж крыши ишимбай	Ремонт крыши в Ишимбай	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ishimbay.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Ремонт	устранение протечек крыши ишимбай	Ремонт крыши в Ишимбай	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ishimbay.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Ремонт	ремонт крыши частного дома ишимбай	Ремонт крыши в Ишимбай	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ishimbay.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Монтаж	монтаж кровли ишимбай	Кровля под ключ в Ишимбай	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ishimbay.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Монтаж	кровельные работы ишимбай	Кровля под ключ в Ишимбай	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ishimbay.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Монтаж	крыша под ключ ишимбай	Кровля под ключ в Ишимбай	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ishimbay.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Монтаж	перекрыть крышу ишимбай	Кровля под ключ в Ишимбай	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ishimbay.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Монтаж	строительство крыши ишимбай	Кровля под ключ в Ишимбай	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ishimbay.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Металлочерепица	монтаж металлочерепицы ишимбай	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Металлочерепица	крыша из металлочерепицы ишимбай	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Металлочерепица	металлочерепица под ключ ишимбай	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Металлочерепица	кровля металлочерепица цена ишимбай	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Профнастил	монтаж профнастила на крышу ишимбай	Кровля из профнастила	От 1400 руб/м² в Ишимбай	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Профнастил	крыша из профнастила ишимбай	Кровля из профнастила	От 1400 руб/м² в Ишимбай	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Профнастил	перекрыть крышу профлистом ишимбай	Кровля из профнастила	От 1400 руб/м² в Ишимбай	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Профнастил	кровля профнастил цена ишимбай	Кровля из профнастила	От 1400 руб/м² в Ишимбай	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Гибкая черепица	монтаж мягкой кровли ишимбай	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Гибкая черепица	гибкая черепица монтаж ишимбай	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Гибкая черепица	мягкая кровля цена ишимбай	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
-	Ишимбай - Гибкая черепица	укладка мягкой черепицы ишимбай	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ishimbay.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ishimbay_tenant1
