Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Искитим - Ремонт	ремонт кровли искитим	Ремонт крыши в Искитим	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	iskitim.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=iskitim_tenant1
-	Искитим - Ремонт	ремонт крыши искитим	Ремонт крыши в Искитим	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	iskitim.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=iskitim_tenant1
-	Искитим - Ремонт	демонтаж крыши искитим	Ремонт крыши в Искитим	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	iskitim.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=iskitim_tenant1
-	Искитим - Ремонт	устранение протечек крыши искитим	Ремонт крыши в Искитим	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	iskitim.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=iskitim_tenant1
-	Искитим - Ремонт	ремонт крыши частного дома искитим	Ремонт крыши в Искитим	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	iskitim.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=iskitim_tenant1
-	Искитим - Монтаж	монтаж кровли искитим	Кровля под ключ в Искитим	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	iskitim.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=iskitim_tenant1
-	Искитим - Монтаж	кровельные работы искитим	Кровля под ключ в Искитим	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	iskitim.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=iskitim_tenant1
-	Искитим - Монтаж	крыша под ключ искитим	Кровля под ключ в Искитим	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	iskitim.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=iskitim_tenant1
-	Искитим - Монтаж	перекрыть крышу искитим	Кровля под ключ в Искитим	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	iskitim.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=iskitim_tenant1
-	Искитим - Монтаж	строительство крыши искитим	Кровля под ключ в Искитим	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	iskitim.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=iskitim_tenant1
