Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Калининград - Ремонт	ремонт кровли калининград	Ремонт крыши в Калининград	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kaliningrad.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kaliningrad_tenant1
-	Калининград - Ремонт	ремонт крыши калининград	Ремонт крыши в Калининград	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kaliningrad.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kaliningrad_tenant1
-	Калининград - Ремонт	демонтаж крыши калининград	Ремонт крыши в Калининград	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kaliningrad.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kaliningrad_tenant1
-	Калининград - Ремонт	устранение протечек крыши калининград	Ремонт крыши в Калининград	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kaliningrad.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kaliningrad_tenant1
-	Калининград - Ремонт	ремонт крыши частного дома калининград	Ремонт крыши в Калининград	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kaliningrad.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kaliningrad_tenant1
-	Калининград - Монтаж	монтаж кровли калининград	Кровля под ключ в Калининград	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kaliningrad.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kaliningrad_tenant1
-	Калининград - Монтаж	кровельные работы калининград	Кровля под ключ в Калининград	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kaliningrad.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kaliningrad_tenant1
-	Калининград - Монтаж	крыша под ключ калининград	Кровля под ключ в Калининград	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kaliningrad.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kaliningrad_tenant1
-	Калининград - Монтаж	перекрыть крышу калининград	Кровля под ключ в Калининград	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kaliningrad.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kaliningrad_tenant1
-	Калининград - Монтаж	строительство крыши калининград	Кровля под ключ в Калининград	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kaliningrad.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kaliningrad_tenant1
