Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Калуга - Ремонт	ремонт кровли калуга	Ремонт крыши в Калуга	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kaluga.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kaluga_tenant1
-	Калуга - Ремонт	ремонт крыши калуга	Ремонт крыши в Калуга	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kaluga.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kaluga_tenant1
-	Калуга - Ремонт	демонтаж крыши калуга	Ремонт крыши в Калуга	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kaluga.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kaluga_tenant1
-	Калуга - Ремонт	устранение протечек крыши калуга	Ремонт крыши в Калуга	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kaluga.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kaluga_tenant1
-	Калуга - Ремонт	ремонт крыши частного дома калуга	Ремонт крыши в Калуга	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kaluga.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kaluga_tenant1
-	Калуга - Монтаж	монтаж кровли калуга	Кровля под ключ в Калуга	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kaluga.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kaluga_tenant1
-	Калуга - Монтаж	кровельные работы калуга	Кровля под ключ в Калуга	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kaluga.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kaluga_tenant1
-	Калуга - Монтаж	крыша под ключ калуга	Кровля под ключ в Калуга	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kaluga.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kaluga_tenant1
-	Калуга - Монтаж	перекрыть крышу калуга	Кровля под ключ в Калуга	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kaluga.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kaluga_tenant1
-	Калуга - Монтаж	строительство крыши калуга	Кровля под ключ в Калуга	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kaluga.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kaluga_tenant1
