Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Каменск-Уральский - Ремонт	ремонт кровли каменск-уральский	Ремонт крыши в Каменск-Уральский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kamensk-uralskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Ремонт	ремонт крыши каменск-уральский	Ремонт крыши в Каменск-Уральский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kamensk-uralskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Ремонт	демонтаж крыши каменск-уральский	Ремонт крыши в Каменск-Уральский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kamensk-uralskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Ремонт	устранение протечек крыши каменск-уральский	Ремонт крыши в Каменск-Уральский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kamensk-uralskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Ремонт	ремонт крыши частного дома каменск-уральский	Ремонт крыши в Каменск-Уральский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kamensk-uralskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Монтаж	монтаж кровли каменск-уральский	Кровля под ключ в Каменск-Уральский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kamensk-uralskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Монтаж	кровельные работы каменск-уральский	Кровля под ключ в Каменск-Уральский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kamensk-uralskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Монтаж	крыша под ключ каменск-уральский	Кровля под ключ в Каменск-Уральский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kamensk-uralskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Монтаж	перекрыть крышу каменск-уральский	Кровля под ключ в Каменск-Уральский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kamensk-uralskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Монтаж	строительство крыши каменск-уральский	Кровля под ключ в Каменск-Уральский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kamensk-uralskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Металлочерепица	монтаж металлочерепицы каменск-уральский	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kamensk-uralskiy.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Металлочерепица	крыша из металлочерепицы каменск-уральский	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kamensk-uralskiy.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
-	Каменск-Уральский - Металлочерепица	металлочерепица под ключ каменск-уральский	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kamensk-uralskiy.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kamensk-uralskiy_tenant1
