Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Кандалакша - Ремонт	ремонт кровли кандалакша	Ремонт крыши в Кандалакша	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kandalaksha.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kandalaksha_tenant1
-	Кандалакша - Ремонт	ремонт крыши кандалакша	Ремонт крыши в Кандалакша	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kandalaksha.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kandalaksha_tenant1
-	Кандалакша - Ремонт	демонтаж крыши кандалакша	Ремонт крыши в Кандалакша	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kandalaksha.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kandalaksha_tenant1
-	Кандалакша - Ремонт	устранение протечек крыши кандалакша	Ремонт крыши в Кандалакша	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kandalaksha.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kandalaksha_tenant1
-	Кандалакша - Ремонт	ремонт крыши частного дома кандалакша	Ремонт крыши в Кандалакша	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kandalaksha.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kandalaksha_tenant1
-	Кандалакша - Монтаж	монтаж кровли кандалакша	Кровля под ключ в Кандалакша	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kandalaksha.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kandalaksha_tenant1
-	Кандалакша - Монтаж	кровельные работы кандалакша	Кровля под ключ в Кандалакша	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kandalaksha.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kandalaksha_tenant1
-	Кандалакша - Монтаж	крыша под ключ кандалакша	Кровля под ключ в Кандалакша	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kandalaksha.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kandalaksha_tenant1
-	Кандалакша - Монтаж	перекрыть крышу кандалакша	Кровля под ключ в Кандалакша	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kandalaksha.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kandalaksha_tenant1
-	Кандалакша - Монтаж	строительство крыши кандалакша	Кровля под ключ в Кандалакша	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kandalaksha.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kandalaksha_tenant1
