Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Казань - Ремонт	ремонт кровли казань	Ремонт крыши в Казань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kazan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
-	Казань - Ремонт	ремонт крыши казань	Ремонт крыши в Казань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kazan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
-	Казань - Ремонт	демонтаж крыши казань	Ремонт крыши в Казань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kazan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
-	Казань - Ремонт	устранение протечек крыши казань	Ремонт крыши в Казань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kazan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
-	Казань - Ремонт	ремонт крыши частного дома казань	Ремонт крыши в Казань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kazan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
-	Казань - Монтаж	монтаж кровли казань	Кровля под ключ в Казань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kazan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
-	Казань - Монтаж	кровельные работы казань	Кровля под ключ в Казань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kazan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
-	Казань - Монтаж	крыша под ключ казань	Кровля под ключ в Казань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kazan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
-	Казань - Монтаж	перекрыть крышу казань	Кровля под ключ в Казань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kazan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
-	Казань - Монтаж	строительство крыши казань	Кровля под ключ в Казань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kazan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
-	Казань - Металлочерепица	монтаж металлочерепицы казань	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kazan.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kazan_tenant1
