Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Хабаровск - Ремонт	ремонт кровли хабаровск	Ремонт крыши в Хабаровск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khabarovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Ремонт	ремонт крыши хабаровск	Ремонт крыши в Хабаровск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khabarovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Ремонт	демонтаж крыши хабаровск	Ремонт крыши в Хабаровск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khabarovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Ремонт	устранение протечек крыши хабаровск	Ремонт крыши в Хабаровск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khabarovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Ремонт	ремонт крыши частного дома хабаровск	Ремонт крыши в Хабаровск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khabarovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Монтаж	монтаж кровли хабаровск	Кровля под ключ в Хабаровск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khabarovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Монтаж	кровельные работы хабаровск	Кровля под ключ в Хабаровск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khabarovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Монтаж	крыша под ключ хабаровск	Кровля под ключ в Хабаровск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khabarovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Монтаж	перекрыть крышу хабаровск	Кровля под ключ в Хабаровск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khabarovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Монтаж	строительство крыши хабаровск	Кровля под ключ в Хабаровск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khabarovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Металлочерепица	монтаж металлочерепицы хабаровск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	khabarovsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
-	Хабаровск - Металлочерепица	крыша из металлочерепицы хабаровск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	khabarovsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=khabarovsk_tenant1
