Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Ханты-Мансийск - Ремонт	ремонт кровли ханты-мансийск	Ремонт крыши в Ханты-Мансийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khanty-mansiysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khanty-mansiysk_tenant1
-	Ханты-Мансийск - Ремонт	ремонт крыши ханты-мансийск	Ремонт крыши в Ханты-Мансийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khanty-mansiysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khanty-mansiysk_tenant1
-	Ханты-Мансийск - Ремонт	демонтаж крыши ханты-мансийск	Ремонт крыши в Ханты-Мансийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khanty-mansiysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khanty-mansiysk_tenant1
-	Ханты-Мансийск - Ремонт	устранение протечек крыши ханты-мансийск	Ремонт крыши в Ханты-Мансийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khanty-mansiysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khanty-mansiysk_tenant1
-	Ханты-Мансийск - Ремонт	ремонт крыши частного дома ханты-мансийск	Ремонт крыши в Ханты-Мансийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khanty-mansiysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khanty-mansiysk_tenant1
-	Ханты-Мансийск - Монтаж	монтаж кровли ханты-мансийск	Кровля под ключ в Ханты-Мансийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khanty-mansiysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khanty-mansiysk_tenant1
-	Ханты-Мансийск - Монтаж	кровельные работы ханты-мансийск	Кровля под ключ в Ханты-Мансийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khanty-mansiysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khanty-mansiysk_tenant1
-	Ханты-Мансийск - Монтаж	крыша под ключ ханты-мансийск	Кровля под ключ в Ханты-Мансийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khanty-mansiysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khanty-mansiysk_tenant1
-	Ханты-Мансийск - Монтаж	перекрыть крышу ханты-мансийск	Кровля под ключ в Ханты-Мансийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khanty-mansiysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khanty-mansiysk_tenant1
-	Ханты-Мансийск - Монтаж	строительство крыши ханты-мансийск	Кровля под ключ в Ханты-Мансийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khanty-mansiysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khanty-mansiysk_tenant1
