Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Химки - Ремонт	ремонт кровли химки	Ремонт крыши в Химки	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khimki.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khimki_tenant1
-	Химки - Ремонт	ремонт крыши химки	Ремонт крыши в Химки	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khimki.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khimki_tenant1
-	Химки - Ремонт	демонтаж крыши химки	Ремонт крыши в Химки	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khimki.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khimki_tenant1
-	Химки - Ремонт	устранение протечек крыши химки	Ремонт крыши в Химки	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khimki.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khimki_tenant1
-	Химки - Ремонт	ремонт крыши частного дома химки	Ремонт крыши в Химки	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	khimki.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=khimki_tenant1
-	Химки - Монтаж	монтаж кровли химки	Кровля под ключ в Химки	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khimki.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khimki_tenant1
-	Химки - Монтаж	кровельные работы химки	Кровля под ключ в Химки	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khimki.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khimki_tenant1
-	Химки - Монтаж	крыша под ключ химки	Кровля под ключ в Химки	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khimki.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khimki_tenant1
-	Химки - Монтаж	перекрыть крышу химки	Кровля под ключ в Химки	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khimki.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khimki_tenant1
-	Химки - Монтаж	строительство крыши химки	Кровля под ключ в Химки	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	khimki.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=khimki_tenant1
