Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Коломна - Ремонт	ремонт кровли коломна	Ремонт крыши в Коломна	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kolomna.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kolomna_tenant1
-	Коломна - Ремонт	ремонт крыши коломна	Ремонт крыши в Коломна	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kolomna.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kolomna_tenant1
-	Коломна - Ремонт	демонтаж крыши коломна	Ремонт крыши в Коломна	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kolomna.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kolomna_tenant1
-	Коломна - Ремонт	устранение протечек крыши коломна	Ремонт крыши в Коломна	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kolomna.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kolomna_tenant1
-	Коломна - Ремонт	ремонт крыши частного дома коломна	Ремонт крыши в Коломна	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kolomna.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kolomna_tenant1
-	Коломна - Монтаж	монтаж кровли коломна	Кровля под ключ в Коломна	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kolomna.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kolomna_tenant1
-	Коломна - Монтаж	кровельные работы коломна	Кровля под ключ в Коломна	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kolomna.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kolomna_tenant1
-	Коломна - Монтаж	крыша под ключ коломна	Кровля под ключ в Коломна	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kolomna.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kolomna_tenant1
-	Коломна - Монтаж	перекрыть крышу коломна	Кровля под ключ в Коломна	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kolomna.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kolomna_tenant1
-	Коломна - Монтаж	строительство крыши коломна	Кровля под ключ в Коломна	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kolomna.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kolomna_tenant1
