Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Комсомольск-на-Амуре - Ремонт	ремонт кровли комсомольск-на-амуре	Ремонт крыши в Комсомольск-на-Амуре	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Ремонт	ремонт крыши комсомольск-на-амуре	Ремонт крыши в Комсомольск-на-Амуре	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Ремонт	демонтаж крыши комсомольск-на-амуре	Ремонт крыши в Комсомольск-на-Амуре	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Ремонт	устранение протечек крыши комсомольск-на-амуре	Ремонт крыши в Комсомольск-на-Амуре	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Ремонт	ремонт крыши частного дома комсомольск-на-амуре	Ремонт крыши в Комсомольск-на-Амуре	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Монтаж	монтаж кровли комсомольск-на-амуре	Кровля под ключ в Комсомольск-на-Амуре	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	komsomolsk-na-amure.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Монтаж	кровельные работы комсомольск-на-амуре	Кровля под ключ в Комсомольск-на-Амуре	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	komsomolsk-na-amure.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Монтаж	крыша под ключ комсомольск-на-амуре	Кровля под ключ в Комсомольск-на-Амуре	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	komsomolsk-na-amure.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Монтаж	перекрыть крышу комсомольск-на-амуре	Кровля под ключ в Комсомольск-на-Амуре	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	komsomolsk-na-amure.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Монтаж	строительство крыши комсомольск-на-амуре	Кровля под ключ в Комсомольск-на-Амуре	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	komsomolsk-na-amure.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Металлочерепица	монтаж металлочерепицы комсомольск-на-амуре	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Металлочерепица	крыша из металлочерепицы комсомольск-на-амуре	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Металлочерепица	металлочерепица под ключ комсомольск-на-амуре	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Металлочерепица	кровля металлочерепица цена комсомольск-на-амуре	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Профнастил	монтаж профнастила на крышу комсомольск-на-амуре	Кровля из профнастила	От 1400 руб/м² в Комсомольск-на-Амуре	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Профнастил	крыша из профнастила комсомольск-на-амуре	Кровля из профнастила	От 1400 руб/м² в Комсомольск-на-Амуре	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Профнастил	перекрыть крышу профлистом комсомольск-на-амуре	Кровля из профнастила	От 1400 руб/м² в Комсомольск-на-Амуре	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Профнастил	кровля профнастил цена комсомольск-на-амуре	Кровля из профнастила	От 1400 руб/м² в Комсомольск-на-Амуре	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Гибкая черепица	монтаж мягкой кровли комсомольск-на-амуре	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Гибкая черепица	гибкая черепица монтаж комсомольск-на-амуре	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Гибкая черепица	мягкая кровля цена комсомольск-на-амуре	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
-	Комсомольск-на-Амуре - Гибкая черепица	укладка мягкой черепицы комсомольск-на-амуре	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	komsomolsk-na-amure.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=komsomolsk-na-amure_tenant1
