Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Королёв - Ремонт	ремонт кровли королёв	Ремонт крыши в Королёв	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	korolyov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Ремонт	ремонт крыши королёв	Ремонт крыши в Королёв	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	korolyov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Ремонт	демонтаж крыши королёв	Ремонт крыши в Королёв	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	korolyov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Ремонт	устранение протечек крыши королёв	Ремонт крыши в Королёв	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	korolyov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Ремонт	ремонт крыши частного дома королёв	Ремонт крыши в Королёв	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	korolyov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Монтаж	монтаж кровли королёв	Кровля под ключ в Королёв	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	korolyov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Монтаж	кровельные работы королёв	Кровля под ключ в Королёв	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	korolyov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Монтаж	крыша под ключ королёв	Кровля под ключ в Королёв	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	korolyov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Монтаж	перекрыть крышу королёв	Кровля под ключ в Королёв	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	korolyov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Монтаж	строительство крыши королёв	Кровля под ключ в Королёв	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	korolyov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Металлочерепица	монтаж металлочерепицы королёв	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Металлочерепица	крыша из металлочерепицы королёв	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Металлочерепица	металлочерепица под ключ королёв	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Металлочерепица	кровля металлочерепица цена королёв	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Профнастил	монтаж профнастила на крышу королёв	Кровля из профнастила	От 1400 руб/м² в Королёв	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Профнастил	крыша из профнастила королёв	Кровля из профнастила	От 1400 руб/м² в Королёв	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Профнастил	перекрыть крышу профлистом королёв	Кровля из профнастила	От 1400 руб/м² в Королёв	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Профнастил	кровля профнастил цена королёв	Кровля из профнастила	От 1400 руб/м² в Королёв	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Гибкая черепица	монтаж мягкой кровли королёв	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Гибкая черепица	гибкая черепица монтаж королёв	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Гибкая черепица	мягкая кровля цена королёв	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
-	Королёв - Гибкая черепица	укладка мягкой черепицы королёв	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	korolyov.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=korolyov_tenant1
