Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Кострома - Ремонт	ремонт кровли кострома	Ремонт крыши в Кострома	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kostroma.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kostroma_tenant1
-	Кострома - Ремонт	ремонт крыши кострома	Ремонт крыши в Кострома	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kostroma.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kostroma_tenant1
-	Кострома - Ремонт	демонтаж крыши кострома	Ремонт крыши в Кострома	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kostroma.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kostroma_tenant1
-	Кострома - Ремонт	устранение протечек крыши кострома	Ремонт крыши в Кострома	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kostroma.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kostroma_tenant1
-	Кострома - Ремонт	ремонт крыши частного дома кострома	Ремонт крыши в Кострома	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kostroma.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kostroma_tenant1
-	Кострома - Монтаж	монтаж кровли кострома	Кровля под ключ в Кострома	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kostroma.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kostroma_tenant1
-	Кострома - Монтаж	кровельные работы кострома	Кровля под ключ в Кострома	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kostroma.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kostroma_tenant1
-	Кострома - Монтаж	крыша под ключ кострома	Кровля под ключ в Кострома	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kostroma.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kostroma_tenant1
-	Кострома - Монтаж	перекрыть крышу кострома	Кровля под ключ в Кострома	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kostroma.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kostroma_tenant1
-	Кострома - Монтаж	строительство крыши кострома	Кровля под ключ в Кострома	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kostroma.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kostroma_tenant1
