Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Красноярск - Ремонт	ремонт кровли красноярск	Ремонт крыши в Красноярск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	krasnoyarsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Ремонт	ремонт крыши красноярск	Ремонт крыши в Красноярск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	krasnoyarsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Ремонт	демонтаж крыши красноярск	Ремонт крыши в Красноярск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	krasnoyarsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Ремонт	устранение протечек крыши красноярск	Ремонт крыши в Красноярск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	krasnoyarsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Ремонт	ремонт крыши частного дома красноярск	Ремонт крыши в Красноярск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	krasnoyarsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Монтаж	монтаж кровли красноярск	Кровля под ключ в Красноярск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	krasnoyarsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Монтаж	кровельные работы красноярск	Кровля под ключ в Красноярск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	krasnoyarsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Монтаж	крыша под ключ красноярск	Кровля под ключ в Красноярск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	krasnoyarsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Монтаж	перекрыть крышу красноярск	Кровля под ключ в Красноярск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	krasnoyarsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Монтаж	строительство крыши красноярск	Кровля под ключ в Красноярск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	krasnoyarsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Металлочерепица	монтаж металлочерепицы красноярск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	krasnoyarsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
-	Красноярск - Металлочерепица	крыша из металлочерепицы красноярск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	krasnoyarsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=krasnoyarsk_tenant1
