Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Кумертау - Ремонт	ремонт кровли кумертау	Ремонт крыши в Кумертау	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kumertau.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
-	Кумертау - Ремонт	ремонт крыши кумертау	Ремонт крыши в Кумертау	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kumertau.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
-	Кумертау - Ремонт	демонтаж крыши кумертау	Ремонт крыши в Кумертау	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kumertau.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
-	Кумертау - Ремонт	устранение протечек крыши кумертау	Ремонт крыши в Кумертау	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kumertau.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
-	Кумертау - Ремонт	ремонт крыши частного дома кумертау	Ремонт крыши в Кумертау	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kumertau.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
-	Кумертау - Монтаж	монтаж кровли кумертау	Кровля под ключ в Кумертау	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kumertau.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
-	Кумертау - Монтаж	кровельные работы кумертау	Кровля под ключ в Кумертау	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kumertau.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
-	Кумертау - Монтаж	крыша под ключ кумертау	Кровля под ключ в Кумертау	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kumertau.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
-	Кумертау - Монтаж	перекрыть крышу кумертау	Кровля под ключ в Кумертау	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kumertau.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
-	Кумертау - Монтаж	строительство крыши кумертау	Кровля под ключ в Кумертау	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kumertau.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
-	Кумертау - Металлочерепица	монтаж металлочерепицы кумертау	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kumertau.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kumertau_tenant1
