Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Курган - Ремонт	ремонт кровли курган	Ремонт крыши в Курган	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kurgan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Ремонт	ремонт крыши курган	Ремонт крыши в Курган	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kurgan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Ремонт	демонтаж крыши курган	Ремонт крыши в Курган	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kurgan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Ремонт	устранение протечек крыши курган	Ремонт крыши в Курган	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kurgan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Ремонт	ремонт крыши частного дома курган	Ремонт крыши в Курган	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kurgan.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Монтаж	монтаж кровли курган	Кровля под ключ в Курган	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kurgan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Монтаж	кровельные работы курган	Кровля под ключ в Курган	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kurgan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Монтаж	крыша под ключ курган	Кровля под ключ в Курган	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kurgan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Монтаж	перекрыть крышу курган	Кровля под ключ в Курган	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kurgan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Монтаж	строительство крыши курган	Кровля под ключ в Курган	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kurgan.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Металлочерепица	монтаж металлочерепицы курган	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Металлочерепица	крыша из металлочерепицы курган	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Металлочерепица	металлочерепица под ключ курган	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Металлочерепица	кровля металлочерепица цена курган	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Профнастил	монтаж профнастила на крышу курган	Кровля из профнастила	От 1400 руб/м² в Курган	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Профнастил	крыша из профнастила курган	Кровля из профнастила	От 1400 руб/м² в Курган	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Профнастил	перекрыть крышу профлистом курган	Кровля из профнастила	От 1400 руб/м² в Курган	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Профнастил	кровля профнастил цена курган	Кровля из профнастила	От 1400 руб/м² в Курган	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Гибкая черепица	монтаж мягкой кровли курган	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Гибкая черепица	гибкая черепица монтаж курган	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Гибкая черепица	мягкая кровля цена курган	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
-	Курган - Гибкая черепица	укладка мягкой черепицы курган	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	kurgan.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kurgan_tenant1
