Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Курск - Ремонт	ремонт кровли курск	Ремонт крыши в Курск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kursk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Ремонт	ремонт крыши курск	Ремонт крыши в Курск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kursk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Ремонт	демонтаж крыши курск	Ремонт крыши в Курск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kursk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Ремонт	устранение протечек крыши курск	Ремонт крыши в Курск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kursk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Ремонт	ремонт крыши частного дома курск	Ремонт крыши в Курск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	kursk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Монтаж	монтаж кровли курск	Кровля под ключ в Курск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kursk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Монтаж	кровельные работы курск	Кровля под ключ в Курск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kursk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Монтаж	крыша под ключ курск	Кровля под ключ в Курск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kursk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Монтаж	перекрыть крышу курск	Кровля под ключ в Курск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kursk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Монтаж	строительство крыши курск	Кровля под ключ в Курск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	kursk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Металлочерепица	монтаж металлочерепицы курск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kursk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Металлочерепица	крыша из металлочерепицы курск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kursk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
-	Курск - Металлочерепица	металлочерепица под ключ курск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	kursk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=kursk_tenant1
