Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Ленинск-Кузнецкий - Ремонт	ремонт кровли ленинск-кузнецкий	Ремонт крыши в Ленинск-Кузнецкий	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	leninsk-kuznetskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Ремонт	ремонт крыши ленинск-кузнецкий	Ремонт крыши в Ленинск-Кузнецкий	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	leninsk-kuznetskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Ремонт	демонтаж крыши ленинск-кузнецкий	Ремонт крыши в Ленинск-Кузнецкий	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	leninsk-kuznetskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Ремонт	устранение протечек крыши ленинск-кузнецкий	Ремонт крыши в Ленинск-Кузнецкий	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	leninsk-kuznetskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Ремонт	ремонт крыши частного дома ленинск-кузнецкий	Ремонт крыши в Ленинск-Кузнецкий	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	leninsk-kuznetskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Монтаж	монтаж кровли ленинск-кузнецкий	Кровля под ключ в Ленинск-Кузнецкий	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	leninsk-kuznetskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Монтаж	кровельные работы ленинск-кузнецкий	Кровля под ключ в Ленинск-Кузнецкий	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	leninsk-kuznetskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Монтаж	крыша под ключ ленинск-кузнецкий	Кровля под ключ в Ленинск-Кузнецкий	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	leninsk-kuznetskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Монтаж	перекрыть крышу ленинск-кузнецкий	Кровля под ключ в Ленинск-Кузнецкий	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	leninsk-kuznetskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Монтаж	строительство крыши ленинск-кузнецкий	Кровля под ключ в Ленинск-Кузнецкий	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	leninsk-kuznetskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Металлочерепица	монтаж металлочерепицы ленинск-кузнецкий	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	leninsk-kuznetskiy.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Металлочерепица	крыша из металлочерепицы ленинск-кузнецкий	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	leninsk-kuznetskiy.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Металлочерепица	металлочерепица под ключ ленинск-кузнецкий	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	leninsk-kuznetskiy.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
-	Ленинск-Кузнецкий - Металлочерепица	кровля металлочерепица цена ленинск-кузнецкий	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	leninsk-kuznetskiy.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=leninsk-kuznetskiy_tenant1
