Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Липецк - Ремонт	ремонт кровли липецк	Ремонт крыши в Липецк	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	lipetsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Ремонт	ремонт крыши липецк	Ремонт крыши в Липецк	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	lipetsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Ремонт	демонтаж крыши липецк	Ремонт крыши в Липецк	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	lipetsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Ремонт	устранение протечек крыши липецк	Ремонт крыши в Липецк	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	lipetsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Ремонт	ремонт крыши частного дома липецк	Ремонт крыши в Липецк	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	lipetsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Монтаж	монтаж кровли липецк	Кровля под ключ в Липецк	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	lipetsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Монтаж	кровельные работы липецк	Кровля под ключ в Липецк	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	lipetsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Монтаж	крыша под ключ липецк	Кровля под ключ в Липецк	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	lipetsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Монтаж	перекрыть крышу липецк	Кровля под ключ в Липецк	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	lipetsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Монтаж	строительство крыши липецк	Кровля под ключ в Липецк	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	lipetsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Металлочерепица	монтаж металлочерепицы липецк	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Металлочерепица	крыша из металлочерепицы липецк	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Металлочерепица	металлочерепица под ключ липецк	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Металлочерепица	кровля металлочерепица цена липецк	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Профнастил	монтаж профнастила на крышу липецк	Кровля из профнастила	От 1400 руб/м² в Липецк	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Профнастил	крыша из профнастила липецк	Кровля из профнастила	От 1400 руб/м² в Липецк	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Профнастил	перекрыть крышу профлистом липецк	Кровля из профнастила	От 1400 руб/м² в Липецк	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Профнастил	кровля профнастил цена липецк	Кровля из профнастила	От 1400 руб/м² в Липецк	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Гибкая черепица	монтаж мягкой кровли липецк	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Гибкая черепица	гибкая черепица монтаж липецк	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Гибкая черепица	мягкая кровля цена липецк	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
-	Липецк - Гибкая черепица	укладка мягкой черепицы липецк	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	lipetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=lipetsk_tenant1
