Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Махачкала - Ремонт	ремонт кровли махачкала	Ремонт крыши в Махачкала	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	makhachkala.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=makhachkala_tenant1
-	Махачкала - Ремонт	ремонт крыши махачкала	Ремонт крыши в Махачкала	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	makhachkala.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=makhachkala_tenant1
-	Махачкала - Ремонт	демонтаж крыши махачкала	Ремонт крыши в Махачкала	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	makhachkala.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=makhachkala_tenant1
-	Махачкала - Ремонт	устранение протечек крыши махачкала	Ремонт крыши в Махачкала	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	makhachkala.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=makhachkala_tenant1
-	Махачкала - Ремонт	ремонт крыши частного дома махачкала	Ремонт крыши в Махачкала	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	makhachkala.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=makhachkala_tenant1
-	Махачкала - Монтаж	монтаж кровли махачкала	Кровля под ключ в Махачкала	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	makhachkala.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=makhachkala_tenant1
-	Махачкала - Монтаж	кровельные работы махачкала	Кровля под ключ в Махачкала	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	makhachkala.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=makhachkala_tenant1
-	Махачкала - Монтаж	крыша под ключ махачкала	Кровля под ключ в Махачкала	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	makhachkala.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=makhachkala_tenant1
-	Махачкала - Монтаж	перекрыть крышу махачкала	Кровля под ключ в Махачкала	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	makhachkala.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=makhachkala_tenant1
-	Махачкала - Монтаж	строительство крыши махачкала	Кровля под ключ в Махачкала	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	makhachkala.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=makhachkala_tenant1
