Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Медногорск - Ремонт	ремонт кровли медногорск	Ремонт крыши в Медногорск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	mednogorsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
-	Медногорск - Ремонт	ремонт крыши медногорск	Ремонт крыши в Медногорск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	mednogorsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
-	Медногорск - Ремонт	демонтаж крыши медногорск	Ремонт крыши в Медногорск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	mednogorsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
-	Медногорск - Ремонт	устранение протечек крыши медногорск	Ремонт крыши в Медногорск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	mednogorsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
-	Медногорск - Ремонт	ремонт крыши частного дома медногорск	Ремонт крыши в Медногорск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	mednogorsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
-	Медногорск - Монтаж	монтаж кровли медногорск	Кровля под ключ в Медногорск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	mednogorsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
-	Медногорск - Монтаж	кровельные работы медногорск	Кровля под ключ в Медногорск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	mednogorsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
-	Медногорск - Монтаж	крыша под ключ медногорск	Кровля под ключ в Медногорск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	mednogorsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
-	Медногорск - Монтаж	перекрыть крышу медногорск	Кровля под ключ в Медногорск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	mednogorsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
-	Медногорск - Монтаж	строительство крыши медногорск	Кровля под ключ в Медногорск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	mednogorsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
-	Медногорск - Металлочерепица	монтаж металлочерепицы медногорск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	mednogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=mednogorsk_tenant1
