Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Минусинск - Ремонт	ремонт кровли минусинск	Ремонт крыши в Минусинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	minusinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Ремонт	ремонт крыши минусинск	Ремонт крыши в Минусинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	minusinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Ремонт	демонтаж крыши минусинск	Ремонт крыши в Минусинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	minusinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Ремонт	устранение протечек крыши минусинск	Ремонт крыши в Минусинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	minusinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Ремонт	ремонт крыши частного дома минусинск	Ремонт крыши в Минусинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	minusinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Монтаж	монтаж кровли минусинск	Кровля под ключ в Минусинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	minusinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Монтаж	кровельные работы минусинск	Кровля под ключ в Минусинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	minusinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Монтаж	крыша под ключ минусинск	Кровля под ключ в Минусинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	minusinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Монтаж	перекрыть крышу минусинск	Кровля под ключ в Минусинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	minusinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Монтаж	строительство крыши минусинск	Кровля под ключ в Минусинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	minusinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Металлочерепица	монтаж металлочерепицы минусинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Металлочерепица	крыша из металлочерепицы минусинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Металлочерепица	металлочерепица под ключ минусинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Металлочерепица	кровля металлочерепица цена минусинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Профнастил	монтаж профнастила на крышу минусинск	Кровля из профнастила	От 1400 руб/м² в Минусинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Профнастил	крыша из профнастила минусинск	Кровля из профнастила	От 1400 руб/м² в Минусинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Профнастил	перекрыть крышу профлистом минусинск	Кровля из профнастила	От 1400 руб/м² в Минусинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Профнастил	кровля профнастил цена минусинск	Кровля из профнастила	От 1400 руб/м² в Минусинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Гибкая черепица	монтаж мягкой кровли минусинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Гибкая черепица	гибкая черепица монтаж минусинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Гибкая черепица	мягкая кровля цена минусинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
-	Минусинск - Гибкая черепица	укладка мягкой черепицы минусинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	minusinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=minusinsk_tenant1
