Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Москва - Ремонт	ремонт кровли москва	Ремонт крыши в Москва	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	moskva.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Ремонт	ремонт крыши москва	Ремонт крыши в Москва	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	moskva.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Ремонт	демонтаж крыши москва	Ремонт крыши в Москва	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	moskva.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Ремонт	устранение протечек крыши москва	Ремонт крыши в Москва	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	moskva.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Ремонт	ремонт крыши частного дома москва	Ремонт крыши в Москва	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	moskva.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Монтаж	монтаж кровли москва	Кровля под ключ в Москва	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	moskva.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Монтаж	кровельные работы москва	Кровля под ключ в Москва	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	moskva.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Монтаж	крыша под ключ москва	Кровля под ключ в Москва	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	moskva.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Монтаж	перекрыть крышу москва	Кровля под ключ в Москва	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	moskva.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Монтаж	строительство крыши москва	Кровля под ключ в Москва	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	moskva.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Металлочерепица	монтаж металлочерепицы москва	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Металлочерепица	крыша из металлочерепицы москва	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Металлочерепица	металлочерепица под ключ москва	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Металлочерепица	кровля металлочерепица цена москва	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Профнастил	монтаж профнастила на крышу москва	Кровля из профнастила	От 1400 руб/м² в Москва	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Профнастил	крыша из профнастила москва	Кровля из профнастила	От 1400 руб/м² в Москва	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Профнастил	перекрыть крышу профлистом москва	Кровля из профнастила	От 1400 руб/м² в Москва	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Профнастил	кровля профнастил цена москва	Кровля из профнастила	От 1400 руб/м² в Москва	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Гибкая черепица	монтаж мягкой кровли москва	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Гибкая черепица	гибкая черепица монтаж москва	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Гибкая черепица	мягкая кровля цена москва	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
-	Москва - Гибкая черепица	укладка мягкой черепицы москва	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	moskva.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=moskva_tenant1
