Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Можга - Ремонт	ремонт кровли можга	Ремонт крыши в Можга	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	mozhga.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Ремонт	ремонт крыши можга	Ремонт крыши в Можга	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	mozhga.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Ремонт	демонтаж крыши можга	Ремонт крыши в Можга	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	mozhga.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Ремонт	устранение протечек крыши можга	Ремонт крыши в Можга	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	mozhga.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Ремонт	ремонт крыши частного дома можга	Ремонт крыши в Можга	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	mozhga.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Монтаж	монтаж кровли можга	Кровля под ключ в Можга	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	mozhga.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Монтаж	кровельные работы можга	Кровля под ключ в Можга	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	mozhga.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Монтаж	крыша под ключ можга	Кровля под ключ в Можга	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	mozhga.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Монтаж	перекрыть крышу можга	Кровля под ключ в Можга	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	mozhga.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Монтаж	строительство крыши можга	Кровля под ключ в Можга	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	mozhga.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Металлочерепица	монтаж металлочерепицы можга	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	mozhga.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Металлочерепица	крыша из металлочерепицы можга	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	mozhga.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Металлочерепица	металлочерепица под ключ можга	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	mozhga.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Металлочерепица	кровля металлочерепица цена можга	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	mozhga.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Профнастил	монтаж профнастила на крышу можга	Кровля из профнастила	От 1400 руб/м² в Можга	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	mozhga.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
-	Можга - Профнастил	крыша из профнастила можга	Кровля из профнастила	От 1400 руб/м² в Можга	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	mozhga.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=mozhga_tenant1
