Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Мурманск - Ремонт	ремонт кровли мурманск	Ремонт крыши в Мурманск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	murmansk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
-	Мурманск - Ремонт	ремонт крыши мурманск	Ремонт крыши в Мурманск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	murmansk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
-	Мурманск - Ремонт	демонтаж крыши мурманск	Ремонт крыши в Мурманск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	murmansk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
-	Мурманск - Ремонт	устранение протечек крыши мурманск	Ремонт крыши в Мурманск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	murmansk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
-	Мурманск - Ремонт	ремонт крыши частного дома мурманск	Ремонт крыши в Мурманск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	murmansk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
-	Мурманск - Монтаж	монтаж кровли мурманск	Кровля под ключ в Мурманск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	murmansk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
-	Мурманск - Монтаж	кровельные работы мурманск	Кровля под ключ в Мурманск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	murmansk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
-	Мурманск - Монтаж	крыша под ключ мурманск	Кровля под ключ в Мурманск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	murmansk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
-	Мурманск - Монтаж	перекрыть крышу мурманск	Кровля под ключ в Мурманск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	murmansk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
-	Мурманск - Монтаж	строительство крыши мурманск	Кровля под ключ в Мурманск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	murmansk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
-	Мурманск - Металлочерепица	монтаж металлочерепицы мурманск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	murmansk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=murmansk_tenant1
