Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Находка - Ремонт	ремонт кровли находка	Ремонт крыши в Находка	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nakhodka.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nakhodka_tenant1
-	Находка - Ремонт	ремонт крыши находка	Ремонт крыши в Находка	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nakhodka.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nakhodka_tenant1
-	Находка - Ремонт	демонтаж крыши находка	Ремонт крыши в Находка	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nakhodka.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nakhodka_tenant1
-	Находка - Ремонт	устранение протечек крыши находка	Ремонт крыши в Находка	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nakhodka.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nakhodka_tenant1
-	Находка - Ремонт	ремонт крыши частного дома находка	Ремонт крыши в Находка	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nakhodka.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nakhodka_tenant1
-	Находка - Монтаж	монтаж кровли находка	Кровля под ключ в Находка	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nakhodka.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nakhodka_tenant1
-	Находка - Монтаж	кровельные работы находка	Кровля под ключ в Находка	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nakhodka.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nakhodka_tenant1
-	Находка - Монтаж	крыша под ключ находка	Кровля под ключ в Находка	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nakhodka.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nakhodka_tenant1
-	Находка - Монтаж	перекрыть крышу находка	Кровля под ключ в Находка	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nakhodka.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nakhodka_tenant1
-	Находка - Монтаж	строительство крыши находка	Кровля под ключ в Находка	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nakhodka.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nakhodka_tenant1
