Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Нарьян-Мар - Ремонт	ремонт кровли нарьян-мар	Ремонт крыши в Нарьян-Мар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	naryan-mar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=naryan-mar_tenant1
-	Нарьян-Мар - Ремонт	ремонт крыши нарьян-мар	Ремонт крыши в Нарьян-Мар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	naryan-mar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=naryan-mar_tenant1
-	Нарьян-Мар - Ремонт	демонтаж крыши нарьян-мар	Ремонт крыши в Нарьян-Мар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	naryan-mar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=naryan-mar_tenant1
-	Нарьян-Мар - Ремонт	устранение протечек крыши нарьян-мар	Ремонт крыши в Нарьян-Мар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	naryan-mar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=naryan-mar_tenant1
-	Нарьян-Мар - Ремонт	ремонт крыши частного дома нарьян-мар	Ремонт крыши в Нарьян-Мар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	naryan-mar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=naryan-mar_tenant1
-	Нарьян-Мар - Монтаж	монтаж кровли нарьян-мар	Кровля под ключ в Нарьян-Мар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	naryan-mar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=naryan-mar_tenant1
-	Нарьян-Мар - Монтаж	кровельные работы нарьян-мар	Кровля под ключ в Нарьян-Мар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	naryan-mar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=naryan-mar_tenant1
-	Нарьян-Мар - Монтаж	крыша под ключ нарьян-мар	Кровля под ключ в Нарьян-Мар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	naryan-mar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=naryan-mar_tenant1
-	Нарьян-Мар - Монтаж	перекрыть крышу нарьян-мар	Кровля под ключ в Нарьян-Мар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	naryan-mar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=naryan-mar_tenant1
-	Нарьян-Мар - Монтаж	строительство крыши нарьян-мар	Кровля под ключ в Нарьян-Мар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	naryan-mar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=naryan-mar_tenant1
