Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Назрань - Ремонт	ремонт кровли назрань	Ремонт крыши в Назрань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nazran.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Ремонт	ремонт крыши назрань	Ремонт крыши в Назрань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nazran.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Ремонт	демонтаж крыши назрань	Ремонт крыши в Назрань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nazran.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Ремонт	устранение протечек крыши назрань	Ремонт крыши в Назрань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nazran.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Ремонт	ремонт крыши частного дома назрань	Ремонт крыши в Назрань	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nazran.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Монтаж	монтаж кровли назрань	Кровля под ключ в Назрань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nazran.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Монтаж	кровельные работы назрань	Кровля под ключ в Назрань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nazran.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Монтаж	крыша под ключ назрань	Кровля под ключ в Назрань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nazran.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Монтаж	перекрыть крышу назрань	Кровля под ключ в Назрань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nazran.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Монтаж	строительство крыши назрань	Кровля под ключ в Назрань	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nazran.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Металлочерепица	монтаж металлочерепицы назрань	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	nazran.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Металлочерепица	крыша из металлочерепицы назрань	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	nazran.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Металлочерепица	металлочерепица под ключ назрань	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	nazran.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Металлочерепица	кровля металлочерепица цена назрань	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	nazran.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Профнастил	монтаж профнастила на крышу назрань	Кровля из профнастила	От 1400 руб/м² в Назрань	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	nazran.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
-	Назрань - Профнастил	крыша из профнастила назрань	Кровля из профнастила	От 1400 руб/м² в Назрань	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	nazran.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=nazran_tenant1
