Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Нижнекамск - Ремонт	ремонт кровли нижнекамск	Ремонт крыши в Нижнекамск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nizhnekamsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nizhnekamsk_tenant1
-	Нижнекамск - Ремонт	ремонт крыши нижнекамск	Ремонт крыши в Нижнекамск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nizhnekamsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nizhnekamsk_tenant1
-	Нижнекамск - Ремонт	демонтаж крыши нижнекамск	Ремонт крыши в Нижнекамск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nizhnekamsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nizhnekamsk_tenant1
-	Нижнекамск - Ремонт	устранение протечек крыши нижнекамск	Ремонт крыши в Нижнекамск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nizhnekamsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nizhnekamsk_tenant1
-	Нижнекамск - Ремонт	ремонт крыши частного дома нижнекамск	Ремонт крыши в Нижнекамск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	nizhnekamsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=nizhnekamsk_tenant1
-	Нижнекамск - Монтаж	монтаж кровли нижнекамск	Кровля под ключ в Нижнекамск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nizhnekamsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nizhnekamsk_tenant1
-	Нижнекамск - Монтаж	кровельные работы нижнекамск	Кровля под ключ в Нижнекамск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nizhnekamsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nizhnekamsk_tenant1
-	Нижнекамск - Монтаж	крыша под ключ нижнекамск	Кровля под ключ в Нижнекамск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nizhnekamsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nizhnekamsk_tenant1
-	Нижнекамск - Монтаж	перекрыть крышу нижнекамск	Кровля под ключ в Нижнекамск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nizhnekamsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nizhnekamsk_tenant1
-	Нижнекамск - Монтаж	строительство крыши нижнекамск	Кровля под ключ в Нижнекамск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	nizhnekamsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=nizhnekamsk_tenant1
