Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Новокузнецк - Ремонт	ремонт кровли новокузнецк	Ремонт крыши в Новокузнецк	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novokuznetsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Ремонт	ремонт крыши новокузнецк	Ремонт крыши в Новокузнецк	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novokuznetsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Ремонт	демонтаж крыши новокузнецк	Ремонт крыши в Новокузнецк	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novokuznetsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Ремонт	устранение протечек крыши новокузнецк	Ремонт крыши в Новокузнецк	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novokuznetsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Ремонт	ремонт крыши частного дома новокузнецк	Ремонт крыши в Новокузнецк	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novokuznetsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Монтаж	монтаж кровли новокузнецк	Кровля под ключ в Новокузнецк	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novokuznetsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Монтаж	кровельные работы новокузнецк	Кровля под ключ в Новокузнецк	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novokuznetsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Монтаж	крыша под ключ новокузнецк	Кровля под ключ в Новокузнецк	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novokuznetsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Монтаж	перекрыть крышу новокузнецк	Кровля под ключ в Новокузнецк	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novokuznetsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Монтаж	строительство крыши новокузнецк	Кровля под ключ в Новокузнецк	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novokuznetsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Металлочерепица	монтаж металлочерепицы новокузнецк	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	novokuznetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Металлочерепица	крыша из металлочерепицы новокузнецк	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	novokuznetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Металлочерепица	металлочерепица под ключ новокузнецк	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	novokuznetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
-	Новокузнецк - Металлочерепица	кровля металлочерепица цена новокузнецк	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	novokuznetsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novokuznetsk_tenant1
