Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Новороссийск - Ремонт	ремонт кровли новороссийск	Ремонт крыши в Новороссийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novorossiysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Ремонт	ремонт крыши новороссийск	Ремонт крыши в Новороссийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novorossiysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Ремонт	демонтаж крыши новороссийск	Ремонт крыши в Новороссийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novorossiysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Ремонт	устранение протечек крыши новороссийск	Ремонт крыши в Новороссийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novorossiysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Ремонт	ремонт крыши частного дома новороссийск	Ремонт крыши в Новороссийск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novorossiysk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Монтаж	монтаж кровли новороссийск	Кровля под ключ в Новороссийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novorossiysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Монтаж	кровельные работы новороссийск	Кровля под ключ в Новороссийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novorossiysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Монтаж	крыша под ключ новороссийск	Кровля под ключ в Новороссийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novorossiysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Монтаж	перекрыть крышу новороссийск	Кровля под ключ в Новороссийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novorossiysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Монтаж	строительство крыши новороссийск	Кровля под ключ в Новороссийск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novorossiysk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Металлочерепица	монтаж металлочерепицы новороссийск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Металлочерепица	крыша из металлочерепицы новороссийск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Металлочерепица	металлочерепица под ключ новороссийск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Металлочерепица	кровля металлочерепица цена новороссийск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Профнастил	монтаж профнастила на крышу новороссийск	Кровля из профнастила	От 1400 руб/м² в Новороссийск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Профнастил	крыша из профнастила новороссийск	Кровля из профнастила	От 1400 руб/м² в Новороссийск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Профнастил	перекрыть крышу профлистом новороссийск	Кровля из профнастила	От 1400 руб/м² в Новороссийск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Профнастил	кровля профнастил цена новороссийск	Кровля из профнастила	От 1400 руб/м² в Новороссийск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Гибкая черепица	монтаж мягкой кровли новороссийск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Гибкая черепица	гибкая черепица монтаж новороссийск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Гибкая черепица	мягкая кровля цена новороссийск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
-	Новороссийск - Гибкая черепица	укладка мягкой черепицы новороссийск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	novorossiysk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=novorossiysk_tenant1
