Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Новосибирск - Ремонт	ремонт кровли новосибирск	Ремонт крыши в Новосибирск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novosibirsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novosibirsk_tenant1
-	Новосибирск - Ремонт	ремонт крыши новосибирск	Ремонт крыши в Новосибирск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novosibirsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novosibirsk_tenant1
-	Новосибирск - Ремонт	демонтаж крыши новосибирск	Ремонт крыши в Новосибирск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novosibirsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novosibirsk_tenant1
-	Новосибирск - Ремонт	устранение протечек крыши новосибирск	Ремонт крыши в Новосибирск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novosibirsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novosibirsk_tenant1
-	Новосибирск - Ремонт	ремонт крыши частного дома новосибирск	Ремонт крыши в Новосибирск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novosibirsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novosibirsk_tenant1
-	Новосибирск - Монтаж	монтаж кровли новосибирск	Кровля под ключ в Новосибирск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novosibirsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novosibirsk_tenant1
-	Новосибирск - Монтаж	кровельные работы новосибирск	Кровля под ключ в Новосибирск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novosibirsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novosibirsk_tenant1
-	Новосибирск - Монтаж	крыша под ключ новосибирск	Кровля под ключ в Новосибирск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novosibirsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novosibirsk_tenant1
-	Новосибирск - Монтаж	перекрыть крышу новосибирск	Кровля под ключ в Новосибирск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novosibirsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novosibirsk_tenant1
-	Новосибирск - Монтаж	строительство крыши новосибирск	Кровля под ключ в Новосибирск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novosibirsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novosibirsk_tenant1
