Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Новый Уренгой - Ремонт	ремонт кровли новый уренгой	Ремонт крыши в Новый Уренгой	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novyy-urengoy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novyy-urengoy_tenant1
-	Новый Уренгой - Ремонт	ремонт крыши новый уренгой	Ремонт крыши в Новый Уренгой	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novyy-urengoy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novyy-urengoy_tenant1
-	Новый Уренгой - Ремонт	демонтаж крыши новый уренгой	Ремонт крыши в Новый Уренгой	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novyy-urengoy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novyy-urengoy_tenant1
-	Новый Уренгой - Ремонт	устранение протечек крыши новый уренгой	Ремонт крыши в Новый Уренгой	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novyy-urengoy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novyy-urengoy_tenant1
-	Новый Уренгой - Ремонт	ремонт крыши частного дома новый уренгой	Ремонт крыши в Новый Уренгой	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	novyy-urengoy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=novyy-urengoy_tenant1
-	Новый Уренгой - Монтаж	монтаж кровли новый уренгой	Кровля под ключ в Новый Уренгой	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novyy-urengoy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novyy-urengoy_tenant1
-	Новый Уренгой - Монтаж	кровельные работы новый уренгой	Кровля под ключ в Новый Уренгой	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novyy-urengoy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novyy-urengoy_tenant1
-	Новый Уренгой - Монтаж	крыша под ключ новый уренгой	Кровля под ключ в Новый Уренгой	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novyy-urengoy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novyy-urengoy_tenant1
-	Новый Уренгой - Монтаж	перекрыть крышу новый уренгой	Кровля под ключ в Новый Уренгой	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novyy-urengoy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novyy-urengoy_tenant1
-	Новый Уренгой - Монтаж	строительство крыши новый уренгой	Кровля под ключ в Новый Уренгой	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	novyy-urengoy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=novyy-urengoy_tenant1
