Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Октябрьский - Ремонт	ремонт кровли октябрьский	Ремонт крыши в Октябрьский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	oktyabrskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=oktyabrskiy_tenant1
-	Октябрьский - Ремонт	ремонт крыши октябрьский	Ремонт крыши в Октябрьский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	oktyabrskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=oktyabrskiy_tenant1
-	Октябрьский - Ремонт	демонтаж крыши октябрьский	Ремонт крыши в Октябрьский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	oktyabrskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=oktyabrskiy_tenant1
-	Октябрьский - Ремонт	устранение протечек крыши октябрьский	Ремонт крыши в Октябрьский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	oktyabrskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=oktyabrskiy_tenant1
-	Октябрьский - Ремонт	ремонт крыши частного дома октябрьский	Ремонт крыши в Октябрьский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	oktyabrskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=oktyabrskiy_tenant1
-	Октябрьский - Монтаж	монтаж кровли октябрьский	Кровля под ключ в Октябрьский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	oktyabrskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=oktyabrskiy_tenant1
-	Октябрьский - Монтаж	кровельные работы октябрьский	Кровля под ключ в Октябрьский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	oktyabrskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=oktyabrskiy_tenant1
-	Октябрьский - Монтаж	крыша под ключ октябрьский	Кровля под ключ в Октябрьский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	oktyabrskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=oktyabrskiy_tenant1
-	Октябрьский - Монтаж	перекрыть крышу октябрьский	Кровля под ключ в Октябрьский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	oktyabrskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=oktyabrskiy_tenant1
-	Октябрьский - Монтаж	строительство крыши октябрьский	Кровля под ключ в Октябрьский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	oktyabrskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=oktyabrskiy_tenant1
