Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Оренбург - Ремонт	ремонт кровли оренбург	Ремонт крыши в Оренбург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	orenburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=orenburg_tenant1
-	Оренбург - Ремонт	ремонт крыши оренбург	Ремонт крыши в Оренбург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	orenburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=orenburg_tenant1
-	Оренбург - Ремонт	демонтаж крыши оренбург	Ремонт крыши в Оренбург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	orenburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=orenburg_tenant1
-	Оренбург - Ремонт	устранение протечек крыши оренбург	Ремонт крыши в Оренбург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	orenburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=orenburg_tenant1
-	Оренбург - Ремонт	ремонт крыши частного дома оренбург	Ремонт крыши в Оренбург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	orenburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=orenburg_tenant1
-	Оренбург - Монтаж	монтаж кровли оренбург	Кровля под ключ в Оренбург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	orenburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=orenburg_tenant1
-	Оренбург - Монтаж	кровельные работы оренбург	Кровля под ключ в Оренбург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	orenburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=orenburg_tenant1
-	Оренбург - Монтаж	крыша под ключ оренбург	Кровля под ключ в Оренбург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	orenburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=orenburg_tenant1
-	Оренбург - Монтаж	перекрыть крышу оренбург	Кровля под ключ в Оренбург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	orenburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=orenburg_tenant1
-	Оренбург - Монтаж	строительство крыши оренбург	Кровля под ключ в Оренбург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	orenburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=orenburg_tenant1
