Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Орск - Ремонт	ремонт кровли орск	Ремонт крыши в Орск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	orsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Ремонт	ремонт крыши орск	Ремонт крыши в Орск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	orsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Ремонт	демонтаж крыши орск	Ремонт крыши в Орск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	orsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Ремонт	устранение протечек крыши орск	Ремонт крыши в Орск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	orsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Ремонт	ремонт крыши частного дома орск	Ремонт крыши в Орск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	orsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Монтаж	монтаж кровли орск	Кровля под ключ в Орск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	orsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Монтаж	кровельные работы орск	Кровля под ключ в Орск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	orsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Монтаж	крыша под ключ орск	Кровля под ключ в Орск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	orsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Монтаж	перекрыть крышу орск	Кровля под ключ в Орск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	orsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Монтаж	строительство крыши орск	Кровля под ключ в Орск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	orsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Металлочерепица	монтаж металлочерепицы орск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	orsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Металлочерепица	крыша из металлочерепицы орск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	orsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Металлочерепица	металлочерепица под ключ орск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	orsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
-	Орск - Металлочерепица	кровля металлочерепица цена орск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	orsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=orsk_tenant1
