Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Орёл - Ремонт	ремонт кровли орёл	Ремонт крыши в Орёл	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	oryol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=oryol_tenant1
-	Орёл - Ремонт	ремонт крыши орёл	Ремонт крыши в Орёл	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	oryol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=oryol_tenant1
-	Орёл - Ремонт	демонтаж крыши орёл	Ремонт крыши в Орёл	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	oryol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=oryol_tenant1
-	Орёл - Ремонт	устранение протечек крыши орёл	Ремонт крыши в Орёл	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	oryol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=oryol_tenant1
-	Орёл - Ремонт	ремонт крыши частного дома орёл	Ремонт крыши в Орёл	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	oryol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=oryol_tenant1
-	Орёл - Монтаж	монтаж кровли орёл	Кровля под ключ в Орёл	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	oryol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=oryol_tenant1
-	Орёл - Монтаж	кровельные работы орёл	Кровля под ключ в Орёл	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	oryol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=oryol_tenant1
-	Орёл - Монтаж	крыша под ключ орёл	Кровля под ключ в Орёл	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	oryol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=oryol_tenant1
-	Орёл - Монтаж	перекрыть крышу орёл	Кровля под ключ в Орёл	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	oryol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=oryol_tenant1
-	Орёл - Монтаж	строительство крыши орёл	Кровля под ключ в Орёл	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	oryol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=oryol_tenant1
