Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Петропавловск-Камчатский - Ремонт	ремонт кровли петропавловск-камчатский	Ремонт крыши в Петропавловск-Камчатский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	petropavlovsk-kamchatskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=petropavlovsk-kamchatskiy_tenant1
-	Петропавловск-Камчатский - Ремонт	ремонт крыши петропавловск-камчатский	Ремонт крыши в Петропавловск-Камчатский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	petropavlovsk-kamchatskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=petropavlovsk-kamchatskiy_tenant1
-	Петропавловск-Камчатский - Ремонт	демонтаж крыши петропавловск-камчатский	Ремонт крыши в Петропавловск-Камчатский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	petropavlovsk-kamchatskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=petropavlovsk-kamchatskiy_tenant1
-	Петропавловск-Камчатский - Ремонт	устранение протечек крыши петропавловск-камчатский	Ремонт крыши в Петропавловск-Камчатский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	petropavlovsk-kamchatskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=petropavlovsk-kamchatskiy_tenant1
-	Петропавловск-Камчатский - Ремонт	ремонт крыши частного дома петропавловск-камчатский	Ремонт крыши в Петропавловск-Камчатский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	petropavlovsk-kamchatskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=petropavlovsk-kamchatskiy_tenant1
-	Петропавловск-Камчатский - Монтаж	монтаж кровли петропавловск-камчатский	Кровля под ключ в Петропавловск-Камчатский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	petropavlovsk-kamchatskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=petropavlovsk-kamchatskiy_tenant1
-	Петропавловск-Камчатский - Монтаж	кровельные работы петропавловск-камчатский	Кровля под ключ в Петропавловск-Камчатский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	petropavlovsk-kamchatskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=petropavlovsk-kamchatskiy_tenant1
-	Петропавловск-Камчатский - Монтаж	крыша под ключ петропавловск-камчатский	Кровля под ключ в Петропавловск-Камчатский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	petropavlovsk-kamchatskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=petropavlovsk-kamchatskiy_tenant1
-	Петропавловск-Камчатский - Монтаж	перекрыть крышу петропавловск-камчатский	Кровля под ключ в Петропавловск-Камчатский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	petropavlovsk-kamchatskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=petropavlovsk-kamchatskiy_tenant1
-	Петропавловск-Камчатский - Монтаж	строительство крыши петропавловск-камчатский	Кровля под ключ в Петропавловск-Камчатский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	petropavlovsk-kamchatskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=petropavlovsk-kamchatskiy_tenant1
