Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Петрозаводск - Ремонт	ремонт кровли петрозаводск	Ремонт крыши в Петрозаводск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	petrozavodsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=petrozavodsk_tenant1
-	Петрозаводск - Ремонт	ремонт крыши петрозаводск	Ремонт крыши в Петрозаводск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	petrozavodsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=petrozavodsk_tenant1
-	Петрозаводск - Ремонт	демонтаж крыши петрозаводск	Ремонт крыши в Петрозаводск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	petrozavodsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=petrozavodsk_tenant1
-	Петрозаводск - Ремонт	устранение протечек крыши петрозаводск	Ремонт крыши в Петрозаводск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	petrozavodsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=petrozavodsk_tenant1
-	Петрозаводск - Ремонт	ремонт крыши частного дома петрозаводск	Ремонт крыши в Петрозаводск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	petrozavodsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=petrozavodsk_tenant1
-	Петрозаводск - Монтаж	монтаж кровли петрозаводск	Кровля под ключ в Петрозаводск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	petrozavodsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=petrozavodsk_tenant1
-	Петрозаводск - Монтаж	кровельные работы петрозаводск	Кровля под ключ в Петрозаводск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	petrozavodsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=petrozavodsk_tenant1
-	Петрозаводск - Монтаж	крыша под ключ петрозаводск	Кровля под ключ в Петрозаводск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	petrozavodsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=petrozavodsk_tenant1
-	Петрозаводск - Монтаж	перекрыть крышу петрозаводск	Кровля под ключ в Петрозаводск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	petrozavodsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=petrozavodsk_tenant1
-	Петрозаводск - Монтаж	строительство крыши петрозаводск	Кровля под ключ в Петрозаводск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	petrozavodsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=petrozavodsk_tenant1
