Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Прокопьевск - Ремонт	ремонт кровли прокопьевск	Ремонт крыши в Прокопьевск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	prokopevsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Ремонт	ремонт крыши прокопьевск	Ремонт крыши в Прокопьевск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	prokopevsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Ремонт	демонтаж крыши прокопьевск	Ремонт крыши в Прокопьевск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	prokopevsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Ремонт	устранение протечек крыши прокопьевск	Ремонт крыши в Прокопьевск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	prokopevsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Ремонт	ремонт крыши частного дома прокопьевск	Ремонт крыши в Прокопьевск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	prokopevsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Монтаж	монтаж кровли прокопьевск	Кровля под ключ в Прокопьевск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	prokopevsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Монтаж	кровельные работы прокопьевск	Кровля под ключ в Прокопьевск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	prokopevsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Монтаж	крыша под ключ прокопьевск	Кровля под ключ в Прокопьевск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	prokopevsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Монтаж	перекрыть крышу прокопьевск	Кровля под ключ в Прокопьевск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	prokopevsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Монтаж	строительство крыши прокопьевск	Кровля под ключ в Прокопьевск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	prokopevsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Металлочерепица	монтаж металлочерепицы прокопьевск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	prokopevsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Металлочерепица	крыша из металлочерепицы прокопьевск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	prokopevsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Металлочерепица	металлочерепица под ключ прокопьевск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	prokopevsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Металлочерепица	кровля металлочерепица цена прокопьевск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	prokopevsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
-	Прокопьевск - Профнастил	монтаж профнастила на крышу прокопьевск	Кровля из профнастила	От 1400 руб/м² в Прокопьевск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	prokopevsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=prokopevsk_tenant1
