Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Псков - Ремонт	ремонт кровли псков	Ремонт крыши в Псков	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	pskov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=pskov_tenant1
-	Псков - Ремонт	ремонт крыши псков	Ремонт крыши в Псков	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	pskov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=pskov_tenant1
-	Псков - Ремонт	демонтаж крыши псков	Ремонт крыши в Псков	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	pskov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=pskov_tenant1
-	Псков - Ремонт	устранение протечек крыши псков	Ремонт крыши в Псков	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	pskov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=pskov_tenant1
-	Псков - Ремонт	ремонт крыши частного дома псков	Ремонт крыши в Псков	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	pskov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=pskov_tenant1
-	Псков - Монтаж	монтаж кровли псков	Кровля под ключ в Псков	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	pskov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=pskov_tenant1
-	Псков - Монтаж	кровельные работы псков	Кровля под ключ в Псков	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	pskov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=pskov_tenant1
-	Псков - Монтаж	крыша под ключ псков	Кровля под ключ в Псков	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	pskov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=pskov_tenant1
-	Псков - Монтаж	перекрыть крышу псков	Кровля под ключ в Псков	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	pskov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=pskov_tenant1
-	Псков - Монтаж	строительство крыши псков	Кровля под ключ в Псков	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	pskov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=pskov_tenant1
