Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Рассказово - Ремонт	ремонт кровли рассказово	Ремонт крыши в Рассказово	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rasskazovo.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rasskazovo_tenant1
-	Рассказово - Ремонт	ремонт крыши рассказово	Ремонт крыши в Рассказово	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rasskazovo.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rasskazovo_tenant1
-	Рассказово - Ремонт	демонтаж крыши рассказово	Ремонт крыши в Рассказово	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rasskazovo.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rasskazovo_tenant1
-	Рассказово - Ремонт	устранение протечек крыши рассказово	Ремонт крыши в Рассказово	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rasskazovo.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rasskazovo_tenant1
-	Рассказово - Ремонт	ремонт крыши частного дома рассказово	Ремонт крыши в Рассказово	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rasskazovo.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rasskazovo_tenant1
-	Рассказово - Монтаж	монтаж кровли рассказово	Кровля под ключ в Рассказово	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rasskazovo.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rasskazovo_tenant1
-	Рассказово - Монтаж	кровельные работы рассказово	Кровля под ключ в Рассказово	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rasskazovo.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rasskazovo_tenant1
-	Рассказово - Монтаж	крыша под ключ рассказово	Кровля под ключ в Рассказово	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rasskazovo.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rasskazovo_tenant1
-	Рассказово - Монтаж	перекрыть крышу рассказово	Кровля под ключ в Рассказово	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rasskazovo.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rasskazovo_tenant1
-	Рассказово - Монтаж	строительство крыши рассказово	Кровля под ключ в Рассказово	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rasskazovo.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rasskazovo_tenant1
