Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Ростов-на-Дону - Ремонт	ремонт кровли ростов-на-дону	Ремонт крыши в Ростов-на-Дону	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rostov-na-donu.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Ремонт	ремонт крыши ростов-на-дону	Ремонт крыши в Ростов-на-Дону	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rostov-na-donu.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Ремонт	демонтаж крыши ростов-на-дону	Ремонт крыши в Ростов-на-Дону	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rostov-na-donu.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Ремонт	устранение протечек крыши ростов-на-дону	Ремонт крыши в Ростов-на-Дону	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rostov-na-donu.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Ремонт	ремонт крыши частного дома ростов-на-дону	Ремонт крыши в Ростов-на-Дону	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rostov-na-donu.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Монтаж	монтаж кровли ростов-на-дону	Кровля под ключ в Ростов-на-Дону	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rostov-na-donu.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Монтаж	кровельные работы ростов-на-дону	Кровля под ключ в Ростов-на-Дону	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rostov-na-donu.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Монтаж	крыша под ключ ростов-на-дону	Кровля под ключ в Ростов-на-Дону	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rostov-na-donu.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Монтаж	перекрыть крышу ростов-на-дону	Кровля под ключ в Ростов-на-Дону	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rostov-na-donu.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Монтаж	строительство крыши ростов-на-дону	Кровля под ключ в Ростов-на-Дону	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rostov-na-donu.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Металлочерепица	монтаж металлочерепицы ростов-на-дону	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Металлочерепица	крыша из металлочерепицы ростов-на-дону	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Металлочерепица	металлочерепица под ключ ростов-на-дону	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Металлочерепица	кровля металлочерепица цена ростов-на-дону	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Профнастил	монтаж профнастила на крышу ростов-на-дону	Кровля из профнастила	От 1400 руб/м² в Ростов-на-Дону	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Профнастил	крыша из профнастила ростов-на-дону	Кровля из профнастила	От 1400 руб/м² в Ростов-на-Дону	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Профнастил	перекрыть крышу профлистом ростов-на-дону	Кровля из профнастила	От 1400 руб/м² в Ростов-на-Дону	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Профнастил	кровля профнастил цена ростов-на-дону	Кровля из профнастила	От 1400 руб/м² в Ростов-на-Дону	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Гибкая черепица	монтаж мягкой кровли ростов-на-дону	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Гибкая черепица	гибкая черепица монтаж ростов-на-дону	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Гибкая черепица	мягкая кровля цена ростов-на-дону	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
-	Ростов-на-Дону - Гибкая черепица	укладка мягкой черепицы ростов-на-дону	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	rostov-na-donu.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=rostov-na-donu_tenant1
